sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.69	AF086833	59	3	18853	6	99.4409	365	0	41.2552	45873	3	19128	41.6977306912563	100	45873	3	19128	41.6977306912563	0.736816863950472	57.5654524447932
rand.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.40	AF086833	129	1	18873	2	99.5464	367	0	20.5707	91747	1	18913	20.614298015194	99.7573711693655	91747	1	18913	20.614298015194	27.0330365025559	52.3526654822501
rand.94	AF086833	111	2	18876	6	99.5622	366	0	25.2627	75574	2	19656	26.0089448752216	100	74911	2	19656	26.2391371093698	11.0891591355075	62.6717037551227
rand.38	AF086833	30	1	18858	2	99.4673	367	0	54.4572	34629	1	18916	54.6247364925352	99.7731947887547	34629	1	18916	54.6247364925352	0.929856478673944	44.4454070287909
rand.65	AF086833	47	1	206	2	1.0866	3	0	0.8376	24593	1	310	1.26052128654495	1.63510733688486	24593	1	310	1.26052128654495	7.56312771926971	91.1763509941853
rand.96	AF086833	102	2	18858	6	99.4673	368	0	26.9446	70786	2	19723	27.8628542367135	100	70786	2	19723	27.8628542367135	7.95355013703275	64.1835956262538
rand.1	AF086833	99	2	18898	4	99.6783	367	0	27.5912	68645	2	19013	27.6975744773836	100	68645	2	19013	27.6975744773836	10.0706533614976	62.2317721611188
rand.86	AF086833	95	1	18873	2	99.5464	367	0	28.0531	67276	1	18913	28.112551281289	99.7573711693655	66331	1	18913	28.5130632735825	6.66958134205726	64.8173553843603
rand.50	AF086833	152	2	18876	8	99.5622	366	0	19.9396	96421	2	19791	20.5256116406177	100	95986	2	19791	20.6186318838164	12.4497322526202	66.9316358635634
rand.85	AF086833	100	3	18801	10	99.1666	368	0	27.5057	70898	3	20149	28.4197015430619	100	70597	3	20149	28.5408728416222	6.76374350184852	64.6953836565293
rand.95	KU182898	98	19	13076	44	68.9699	156	1	23.3098	57568	19	14056	24.4163424124514	74.1389313782372	56906	19	14056	24.7003830878993	2.47952764207641	72.8200892700243
rand.21	AF086833	135	2	18873	6	99.5464	367	0	21.9698	86842	2	19679	22.6606941341747	100	86842	2	19679	22.6606941341747	13.1054098247392	64.2338960410861
rand.26	KU182898	33	9	7099	18	37.4440	110	0	37.3109	19040	9	7365	38.6817226890756	38.8469856005064	19040	9	7365	38.6817226890756	1.77521008403361	59.5430672268908
rand.72	AF086833	45	1	206	2	1.0866	3	0	0.9531	21614	1	310	1.43425557509022	1.63510733688486	21614	1	310	1.43425557509022	0	98.5657444249098
rand.89	AF086833	75	1	18853	2	99.4409	365	0	31.1435	60536	1	18929	31.2689969604863	99.8417638061079	60536	1	18929	31.2689969604863	1.77249900885424	66.9585040306594
rand.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.93	KU182898	51	19	11864	44	62.5771	151	1	41.8216	28985	19	12724	43.8985682249439	67.1132443694288	28323	19	12724	44.9246195671362	1.18984570843484	53.8855347244289
rand.100	KU182898	78	9	8125	18	42.8556	130	0	16.9396	47994	9	8402	17.5063549610368	44.316683369376	47994	9	8402	17.5063549610368	4.77351335583615	77.7201316831271
rand.41	AF086833	46	1	18858	4	99.4673	367	0	42.8575	44200	1	18975	42.9298642533937	100	44200	1	18975	42.9298642533937	0	57.0701357466063
rand.64	AF086833	28	1	401	2	2.1151	8	0	1.7731	22616	1	417	1.84382737884683	2.19948309509995	22616	1	417	1.84382737884683	1.72886452069331	96.4273081004598
rand.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.98	AF086833	17	1	18858	2	99.4673	367	0	63.3286	29778	1	18907	63.4931828866949	99.7257239305871	29778	1	18907	63.4931828866949	0	36.5068171133051
rand.91	AF086833	136	2	18873	6	99.5464	367	0	21.6943	88212	2	19735	22.3722396045889	100	87334	2	19735	22.5971557469027	26.337966885749	51.0648773673483
rand.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.12	AF086833	34	1	18858	2	99.4673	367	0	52.7039	35781	1	18918	52.8716357843548	99.7837438683475	35781	1	18918	52.8716357843548	0.944635421033509	46.1837287946117
rand.59	AF086833	136	2	18873	4	99.5464	367	0	21.9186	86762	2	19617	22.6101288582559	100	86762	2	19617	22.6101288582559	10.7316567160739	66.6582144256702
rand.43	AF086833	116	2	18898	4	99.6783	367	0	24.6103	77374	2	19621	25.3586476077235	100	76456	2	19621	25.6631265041331	7.48535105158523	66.8515224442817
rand.39	AF086833	143	3	18801	8	99.1666	368	0	20.6649	93613	3	20048	21.4158289981092	100	93613	3	20048	21.4158289981092	25.2635851858182	53.3205858160726
rand.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.42	AF086833	155	2	18873	4	99.5464	367	0	19.6663	97080	2	19686	20.2781211372064	100	97080	2	19686	20.2781211372064	9.74557066337042	69.9763081994232
rand.18	AF086833	131	2	18873	4	99.5464	367	0	22.9861	83059	2	19696	23.713264065303	100	82521	2	19696	23.8678639376644	15.1743192641873	60.9578167981484
rand.29	AF086833	59	1	18857	2	99.4620	367	0	37.2124	50674	1	18876	37.2498717290918	99.5622131968986	50674	1	18876	37.2498717290918	3.87970162213364	58.8704266487745
rand.34	AF086833	108	1	18873	2	99.5464	367	0	25.4453	74171	1	18913	25.4991843173208	99.7573711693655	73851	1	18913	25.6096735318411	10.0391328485735	64.3511936195854
rand.36	AF086833	141	2	18858	8	99.4673	368	0	20.6360	92518	2	19619	21.2056032339653	100	90667	3	19958	22.0124190719887	26.8962246462329	51.0913562817784
rand.33	LT605058	35	1	281	2	1.4821	7	0	1.6574	16954	1	307	1.81078211631473	1.61928371749565	16954	1	307	1.81078211631473	2.07620620502536	96.1130116786599
rand.73	AF086833	143	2	18873	6	99.5464	367	0	20.7862	91787	2	19682	21.4431237539085	100	91787	2	19682	21.4431237539085	11.1954851994291	67.3613910466624
rand.53	LT605058	40	16	10602	34	55.9207	410	3	43.4409	24470	16	11071	45.2431548835309	58.394430085975	24470	16	11071	45.2431548835309	1.31589701675521	53.4409480997139
rand.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.88	AF086833	46	10	7614	20	40.1603	155	0	28.6413	26584	10	7991	30.0594342461631	42.1488475130545	26584	10	7991	30.0594342461631	5.45817032801685	64.48239542582
rand.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.77	KU182898	35	3	3022	6	15.9397	56	0	14.6863	20577	3	3075	14.9438693687126	16.2192098739385	20577	3	3075	14.9438693687126	9.93342080964183	75.1227098216455
rand.15	AF086833	29	1	18858	2	99.4673	367	0	55.6365	33895	1	18915	55.8046909573683	99.7679202489583	33895	1	18915	55.8046909573683	1.59315533264493	42.6021537099867
rand.51	AF086833	117	1	18873	2	99.5464	367	0	24.1404	78180	1	18913	24.1916091071885	99.7573711693655	78180	1	18913	24.1916091071885	14.1826554105909	61.6257354822205
rand.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
