sample	cohort	sequencer
SRR22807059.rna.1	Case	Illumina_MiSeq
SRR24377009.rna.1	Case	Illumina_HiSeq_2500
SRR22831212.rna.1	Control	Illumina_NovaSeq_6000
SRR24363106.rna.1	Case	Illumina_HiSeq_2500
SRR24415238.rna.1	Case	Illumina_HiSeq_2500
SRR24413235.rna.1	Case	Illumina_HiSeq_2500
SRR24351904.rna.1	Case	Illumina_HiSeq_2500
SRR22807041.rna.1	Case	Illumina_MiSeq
SRR24363563.rna.1	Case	Illumina_HiSeq_2500
SRR22831226.rna.1	Control	Illumina_NovaSeq_6000
SRR24390578.rna.1	Case	Illumina_HiSeq_2500
SRR22831237.rna.1	Control	Illumina_NovaSeq_6000
SRR24363630.rna.1	Case	Illumina_HiSeq_2500
SRR22831219.rna.1	Control	Illumina_NovaSeq_6000
SRR24424532.rna.1	Case	Illumina_HiSeq_2500
SRR24415077.rna.1	Case	Illumina_HiSeq_2500
SRR24385734.rna.1	Case	Illumina_HiSeq_2500
SRR22807105.rna.1	Control	Illumina_MiSeq
SRR22831225.rna.1	Discard	Illumina_NovaSeq_6000
SRR22831244.rna.1	Control	Illumina_NovaSeq_6000
SRR24415246.rna.1	Case	Illumina_HiSeq_2500
SRR24363042.rna.1	Case	Illumina_HiSeq_2500
SRR22831175.rna.1	Control	Illumina_NovaSeq_6000
SRR24363048.rna.1	Case	Illumina_HiSeq_2500
SRR22807082.rna.1	Case	Illumina_MiSeq
SRR24363045.rna.1	Case	Illumina_HiSeq_2500
SRR24414013.rna.1	Case	Illumina_HiSeq_2500
SRR22831218.rna.1	Control	Illumina_NovaSeq_6000
SRR24415242.rna.1	Case	Illumina_HiSeq_2500
SRR22807118.rna.1	Control	Illumina_MiSeq
SRR24414008.rna.1	Case	Illumina_HiSeq_2500
SRR22831227.rna.1	Discard	Illumina_NovaSeq_6000
SRR24390462.rna.1	Case	Illumina_HiSeq_2500
SRR22831187.rna.1	Control	Illumina_NovaSeq_6000
SRR24390004.rna.1	Case	Illumina_HiSeq_2500
SRR22831172.rna.1	Control	Illumina_NovaSeq_6000
