sample	cohort	sequencer
MDL001.01C2152083L.RNA.C39.20211221.rna.1	Control	Next550_1
M117HM0667.R.rna.1	Control	BGI500_1
MAX122798.rna.1	Control	BGI500_1
MAX134327.rna.1	Control	BGI500_1
CF23BC0244.8D6BXX1PXF1.N002JQ84.rna.1	Control	BGI500_1
ZDH230400291R.rna.1	Control	Next550_2
MDL001.24C2243017L.RNA.C21.20221019.rna.1	Control	Next550_1
CF236K0198.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
MDL001.09C2147047L.RNA.C23.20211118.rna.1	Control	Next550_1
MDL001.09C2226028L.RNA.A08.20220625.rna.1	Control	Next550_1
MDL001.09C2228018L.RNA.D03.20220705.rna.1	Control	Next550_1
MDL001.09C2152057L.RNA.B26.20211225.rna.1	Control	Next550_1
CF23820402.8D6BXX1LXF1.N002J019.rna.1	Case	BGI500_1
MDL001.18C2231079L.RNA.A42.20220730.rna.1	Control	Next550_1
MDL001.18C2246135L.RNA.D27.20221113.rna.1	Control	Next550_1
ZDH23101800101R.rna.1	Control	Next550_2
M117HM0708.R.rna.1	Control	BGI500_1
ZDH23072200111R.rna.1	Control	Next550_2
MDL001.24C2241008L.RNA.C47.20221007.rna.1	Control	Next550_1
ZDH221200291R.rna.1	Case	Next550_2
MDL001.09C2203017L.RNA.B19.20220111.rna.1	Control	Next550_1
MDL001.18C2206012L.RNA.C19.20220202.rna.1	Control	Next550_1
ZDH24022800111R.rna.1	Control	Next550_2
M117RN0238.R.rna.1	Control	BGI500_1
X21JS943051.rna.1	Control	Next550_2
X22JS062405.rna.1	Control	Next550_2
M117HM0388.R.rna.1	Control	BGI500_1
M117HM0400.R.rna.1	Control	BGI500_1
MDL001.24C2216017L.RNA.B24.20220415.rna.1	Control	Next550_1
M118YF0177.R.rna.1	Control	BGI500_1
MDL001.09C2143028L.RNA.B35.20211022.rna.1	Control	Next550_1
MDL001.05C2152031L.RNA.A07.20211221.rna.1	Control	Next550_1
CF232N0139.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
M117HM0613.R.rna.1	Control	BGI500_1
X22JS032148.rna.1	Control	Next550_2
X22JS021569.rna.1	Control	Next550_2
M117HM0320.R.rna.1	Control	BGI500_1
ZDH23062200041R.rna.1	Control	Next550_2
X22JS062873.rna.1	Control	Next550_2
