sample	cohort	sequencer
MDL001.18C2207015L.RNA.D29.20220208.rna.1	Control	Next550_1
MDL001.05C2233050L.RNA.B33.20220812.rna.1	Control	Next550_1
MAX120705.rna.1	Control	BGI500_1
X22JS033061.rna.1	Control	Next550_2
CF22430044.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
M118HM0288.R.rna.1	Case	BGI500_1
MAX112653.rna.1	Control	BGI500_1
ZDH230400511R.rna.1	Control	Next550_2
X21JS943029.rna.1	Control	Next550_2
CF223V0132.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
MAX14870801.rna.1	Control	BGI500_1
X22JS047713.rna.1	Control	Next550_2
MAX153830.rna.1	Case	BGI500_1
X22JS021681.rna.1	Control	Next550_2
CF23240051.8B6AXX1PXF1.N002J019.rna.1	Control	BGI500_1
MDL001.24C2215049L.RNA.B02.20220411.rna.1	Control	Next550_1
MDL001.09C2213006L.RNA.C04.20220321.rna.1	Control	Next550_1
MAX134603.rna.1	Control	BGI500_1
MDL001.18C2206024L.RNA.D03.20220203.rna.1	Control	Next550_1
CF23690256.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
M117RE0113.R.rna.1	Control	BGI500_1
PB23660369.8D6AXX1LXF1.N002KX2P.rna.1	Case	BGI500_1
MDL001.Q09C23030013L.RNA.D04.20230109.rna.1	Control	Next550_1
X22JS06296401.rna.1	Control	Next550_2
ZDH23061700052R.rna.1	Case	Next550_2
CF23830401.8D6BXX1MXF1.N002J019.rna.1	Control	BGI500_1
X22JS032954.rna.1	Control	Next550_2
MDL001.Q11C23030028L.RNA.B15.20230110.rna.1	Control	Next550_1
ZZ24JS04646.AD.1R.1L.UDB.112.rna.1	Case	BGI500_1
X22JS062921.rna.1	Control	Next550_2
MDL001.09C2140052L.RNA.B34.20210930.rna.1	Control	Next550_1
CF231F0200.8B6AXX1KXF1.N002J019.rna.1	Case	BGI500_1
CF23070158.8D6BXX1PXF1.N002JQ84.rna.1	Control	BGI500_1
M118HM0358.R.rna.1	Case	BGI500_1
MDL001.Q09C23030019L.RNA.B14.20230110.rna.1	Control	Next550_1
ZDH23053000011R.rna.1	Case	Next550_2
CF234Q0257.8D6AXX1ZXF1.N002J019.rna.1	Control	BGI500_1
MDL001.09C2226012L.RNA.C06.20220620.rna.1	Control	Next550_1
CF23070161.8D6BXX1PXF1.N002JQ84.rna.1	Control	BGI500_1
MDL001.Q09C23080011L.RNA.D29.20230213.rna.1	Control	Next550_1
M117HM0420.R.rna.1	Control	BGI500_1
MDL001.Q24C23080011L.RNA.A09.20230217.rna.1	Case	Next550_1
CF23660366.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
MDL001.09C2142025L.RNA.A27.20211012.rna.1	Control	Next550_1
MDL001.09C2217015L.RNA.A28.20220419.rna.1	Control	Next550_1
M117HM0610.R.rna.1	Control	BGI500_1
N217RT0132.R.rna.1	Case	BGI500_1
MDL001.09C2211028L.RNA.C01.20220309.rna.1	Control	Next550_1
MDL001.24C2224027L.RNA.D14.20220611.rna.1	Control	Next550_1
X22JS021557.rna.1	Control	Next550_2
CF231B0440.8B6AXX1VXF1.N002J019.rna.1	Case	BGI500_1
MDL001.18C2206018L.RNA.C26.20220202.rna.1	Control	Next550_1
CF24370096.8F6AXXJ41F1.N008JQ84.rna.1	Case	BGI500_1
MDL001.09C2151088L.RNA.A33.20211217.rna.1	Control	Next550_1
MDL001.Q24C23040031L.RNA.A37.20230120.rna.1	Case	Next550_1
MDL001.24C2209010L.RNA.C17.20220224.rna.1	Control	Next550_1
MDL001.09C2147003L.RNA.D03.20211115.rna.1	Control	Next550_1
MDL001.Q24C22520006L.RNA.D11.20221223.rna.1	Case	Next550_1
X22JS062866.rna.1	Control	Next550_2
M118HM0283.R.rna.1	Case	BGI500_1
M117HM0650.R.rna.1	Control	BGI500_1
MAX82800.rna.1	Control	BGI500_1
MDL001.Q18C23030063L.RNA.C11.20230113.rna.1	Control	Next550_1
CF244M0035.8B6AXXJ41F1.N008L001.rna.1	Control	BGI500_1
MDL001.09C2222069L.RNA.B03.20220527.rna.1	Control	Next550_1
CF237K0339.8D6BXX1ZXF1.N002J019.rna.1	Control	BGI500_1
M117HM0323.R.rna.1	Control	BGI500_1
M118LA0114.R.rna.1	Control	BGI500_1
MDL001.Q24C23030015L.RNA.C19.20230113.rna.1	Case	Next550_1
CF237L0407.8B6BXX1LXF1.N002J019.rna.1	Control	BGI500_1
X22JS062987.rna.1	Control	Next550_2
M217RT0115.R.rna.1	Case	BGI500_1
CF23950227.8D6BXX1QXF1.N002JQ84.rna.1	Control	BGI500_1
M117LJ0206.R.rna.1	Control	BGI500_1
MDL001.Q09C22510003L.RNA.D10.20221213.rna.1	Control	Next550_1
MDL001.09C2224007L.RNA.C19.20220606.rna.1	Control	Next550_1
CF242G0068.8D6BXX2C1F1.N002JQ84.rna.1	Control	BGI500_1
MDL001.09C2205015L.RNA.A04.20220125.rna.1	Control	Next550_1
CF237T0274.8D6BXX1VXF1.N002J019.rna.1	Control	BGI500_1
ZZ22JS021543.1R.1L.UDB.161.rna.1	Case	BGI500_1
MDL001.24C2224035L.RNA.D18.20220611.rna.1	Control	Next550_1
M117LA0215.R.rna.1	Control	BGI500_1
X22JS023193.rna.1	Control	Next550_2
X22JS062743.rna.1	Control	Next550_2
ZDH23050900052R.rna.1	Case	Next550_2
X22JS047726.rna.1	Control	Next550_2
MDL001.24C2237045L.RNA.D18.20220910.rna.1	Control	Next550_1
ZDH23091100091R.rna.1	Control	Next550_2
MDL001.Q24C23030034T.RNA.D21.20230114.rna.1	Case	Next550_1
MDL001.18C2240118L.RNA.D34.20221003.rna.1	Control	Next550_1
MDL001.1C2031278L.RNA.A23.20200802.rna.1	Control	Next550_1
CF23BC0048.8D6BXX1PXF1.N002JQ84.rna.1	Control	BGI500_1
X21JS942696.rna.1	Control	Next550_2
MDL001.Q24C23080025L.RNA.B04.20230218.rna.1	Control	Next550_1
MDL001.Q24C23090005L.RNA.B03.20230220.rna.1	Control	Next550_1
X21JS942641.rna.1	Control	Next550_2
MDL001.09C2228048L.RNA.A23.20220707.rna.1	Control	Next550_1
M117LA0225.R.rna.1	Control	BGI500_1
CF239A0326.8D6BXX1VXF1.N002JQ84.rna.1	Case	BGI500_1
E218YJ0353.R.rna.1	Case	BGI500_1
CF233E0354.8D6AXX1MXF1.N002J019.rna.1	Control	BGI500_1
CF235S0122.8D6AXX1ZXF1.N002J019.rna.1	Case	BGI500_1
X22JS032966.rna.1	Control	Next550_2
MDL001.Q18C23050085L.RNA.C25.20230128.rna.1	Control	Next550_1
X22JS021510.rna.1	Control	Next550_2
CF230J0045.8D6BXX1VXF1.N002L001.rna.1	Control	BGI500_1
ZZ22JS022625.1R.1L.UDB.108.rna.1	Case	BGI500_1
MDL001.24C2209001L.RNA.C02.20220223.rna.1	Control	Next550_1
X21JS943030.rna.1	Control	Next550_2
X22JS021596.rna.1	Control	Next550_2
CF23040051.8D6BXX1NXF1.N002JQ84.rna.1	Control	BGI500_1
MDL001.Q09C23080027L.RNA.C04.20230214.rna.1	Control	Next550_1
MDL001.1C2022067L.RNA.A03.20200527.rna.1	Control	Next550_1
M117RE0126.R.rna.1	Control	BGI500_1
CF23A00112.8D6BXX1QXF1.N002L001.rna.1	Control	BGI500_1
MDL001.01C2205474L.RNA.B31.20220131.rna.1	Control	Next550_1
CF231B0298.8B6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
ZDH23062500012R.rna.1	Control	Next550_2
CF23240057.8B6AXX1PXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q09C23020028L.RNA.A22.20230103.rna.1	Control	Next550_1
MAX127666.rna.1	Control	BGI500_1
X22JS055892.rna.1	Control	Next550_2
MDL001.09C2222044L.RNA.A15.20220525.rna.1	Control	Next550_1
CF238R0113.8D6BXX1QXF1.N002JQ84.rna.1	Control	BGI500_1
MDL001.24C2209039L.RNA.D02.20220226.rna.1	Control	Next550_1
CF23580251.8D6AXX1ZXF1.N002J019.rna.1	Control	BGI500_1
M117RN0350.R.rna.1	Control	BGI500_1
MDL001.09C2222025L.RNA.B23.20220524.rna.1	Control	Next550_1
M117HM0657.R.rna.1	Control	BGI500_1
MDL001.Q09C23030030L.RNA.A06.20230110.rna.1	Case	Next550_1
ZDH23072300041R.rna.1	Control	Next550_2
MDL001.09C2118010L.RNA.D48.20210428.rna.1	Control	Next550_1
X22JS033038.rna.1	Control	Next550_2
M117HM0765.R.rna.1	Control	BGI500_1
CF22480006.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
E218YF0488.R.rna.1	Case	BGI500_1
CF23000266.8D6BXX1PXF1.N002JQ84.rna.1	Control	BGI500_1
X22JS062935.rna.1	Control	Next550_2
X21JS942651.rna.1	Control	Next550_2
MDL001.24C2216023L.RNA.B25.20220415.rna.1	Control	Next550_1
E217RE0131.R.rna.1	Case	BGI500_1
MDL001.1C2027086L.RNA.D05.20200701.rna.1	Control	Next550_1
X22JS06601201.rna.1	Control	Next550_2
MDL001.09C2125007L.RNA.B04.20210615.rna.1	Control	Next550_1
ZZ22JS109636.AD.1R.1L.UDB.165.rna.1	Case	BGI500_1
MDL001.24C2223042L.RNA.A03.20220605.rna.1	Control	Next550_1
CF236B0251.8D6AXX1LXF1.N002KX2P.rna.1	Case	BGI500_1
ZDH22080097R.rna.1	Control	Next550_2
MDL001.11C2240071L.RNA.C41.20220929.rna.1	Control	Next550_1
ZDH23091300021R.rna.1	Control	Next550_2
M117RS0294.R.rna.1	Control	BGI500_1
ZDH23062200081R.rna.1	Case	Next550_2
MDL001.24C2216010L.RNA.B12.20220414.rna.1	Control	Next550_1
ZDH230402351R.rna.1	Control	Next550_2
MDL001.09C2222068L.RNA.B02.20220527.rna.1	Control	Next550_1
MDL001.09C2152050L.RNA.B24.20211225.rna.1	Control	Next550_1
X22JS062409.rna.1	Control	Next550_2
MDL001.09C2153102L.RNA.C42.20211231.rna.1	Control	Next550_1
MDL001.09C2242078L.RNA.B06.20221015.rna.1	Control	Next550_1
MDL001.09C2221041L.RNA.D31.20220519.rna.1	Control	Next550_1
M117EJ0228.R.rna.1	Control	BGI500_1
M118YF0291.R.rna.1	Case	BGI500_1
M117YF0537.R.rna.1	Control	BGI500_1
ZZ24JS11713.AD.1R.1L.UDB.183.rna.1	Case	BGI500_1
M117HM0460.R.rna.1	Control	BGI500_1
MAX69764.rna.1	Control	BGI500_1
CF23770274.8B6BXX1MXF1.N002J019.rna.1	Control	BGI500_1
X22JS021558.rna.1	Control	Next550_2
ZDH230400331R.rna.1	Control	Next550_2
MDL001.Q11C23020193L.RNA.D48.20230109.rna.1	Case	Next550_1
MDL001.24C2214013L.RNA.B03.20220401.rna.1	Control	Next550_1
