Mix1	Mix2	MixNum	Common	Prj
5	60	5	1	P1_COVID
5	95	5	1	P1_COVID
5	44	5	1	P1_COVID
5	23	5	1	P1_COVID
5	85	5	1	P1_COVID
5	49	5	0	P1_COVID
5	78	5	0	P1_COVID
5	53	5	0	P1_COVID
5	32	5	1	P1_COVID
5	84	5	0	P1_COVID
5	94	5	1	P1_COVID
5	45	5	1	P1_COVID
5	25	5	1	P1_COVID
5	83	5	1	P1_COVID
5	93	5	0	P1_COVID
5	17	5	3	P1_COVID
5	66	5	1	P1_COVID
5	6	5	1	P1_COVID
5	11	5	0	P1_COVID
5	54	5	0	P1_COVID
5	29	5	1	P1_COVID
5	43	5	1	P1_COVID
5	18	5	1	P1_COVID
5	24	5	1	P1_COVID
5	59	5	0	P1_COVID
5	55	5	0	P1_COVID
12	56	5	1	P1_COVID
12	100	5	0	P1_COVID
12	40	5	1	P1_COVID
12	64	5	1	P1_COVID
12	69	5	1	P1_COVID
12	80	5	0	P1_COVID
12	2	5	0	P1_COVID
12	26	5	0	P1_COVID
12	90	5	1	P1_COVID
12	65	5	0	P1_COVID
12	72	5	0	P1_COVID
12	46	5	0	P1_COVID
12	4	5	0	P1_COVID
12	38	5	0	P1_COVID
12	50	5	1	P1_COVID
12	63	5	0	P1_COVID
12	31	5	0	P1_COVID
12	86	5	1	P1_COVID
12	9	5	1	P1_COVID
12	8	5	0	P1_COVID
12	20	5	0	P1_COVID
12	96	5	0	P1_COVID
12	37	5	1	P1_COVID
12	36	5	0	P1_COVID
12	75	5	0	P1_COVID
12	3	5	0	P1_COVID
12	91	5	1	P1_COVID
12	81	5	0	P1_COVID
12	97	5	0	P1_COVID
12	87	5	0	P1_COVID
12	79	5	0	P1_COVID
12	48	5	0	P1_COVID
12	13	5	0	P1_COVID
12	74	5	0	P1_COVID
12	41	5	1	P1_COVID
12	47	5	0	P1_COVID
12	98	5	0	P1_COVID
12	88	5	0	P1_COVID
12	15	5	0	P1_COVID
12	27	5	1	P1_COVID
12	21	5	0	P1_COVID
12	58	5	1	P1_COVID
12	30	5	1	P1_COVID
12	19	5	2	P1_COVID
12	73	5	1	P1_COVID
12	28	5	1	P1_COVID
12	51	5	0	P1_COVID
12	14	5	2	P1_COVID
12	62	5	0	P1_COVID
12	57	5	0	P1_COVID
12	22	5	0	P1_COVID
12	68	5	0	P1_COVID
12	33	5	0	P1_COVID
12	61	5	1	P1_COVID
12	70	5	0	P1_COVID
12	1	5	0	P1_COVID
12	16	5	0	P1_COVID
12	52	5	0	P1_COVID
12	67	5	3	P1_COVID
12	34	5	0	P1_COVID
12	82	5	0	P1_COVID
12	92	5	1	P1_COVID
12	39	5	1	P1_COVID
12	10	5	1	P1_COVID
12	7	5	0	P1_COVID
12	76	5	2	P1_COVID
12	35	5	1	P1_COVID
