sample	project	Mixnumber	frag	cov	signal
ERR6913105	SARS-Cov-2 study 2	1	0	0	0
ERR6913104	SARS-Cov-2 study 2	1	0	0	0
ERR6913103	SARS-Cov-2 study 2	1	0	0	0
ERR6913102	SARS-Cov-2 study 2	1	0	0	0
ERR6913101	SARS-Cov-2 study 2	1	4	5.6416	0.0730
Mix18	SARS-Cov-2 study 1	5	1	99.9398	2.6901
Mix93	SARS-Cov-2 study 1	5	1	99.8428	28.9746
Mix50	SARS-Cov-2 study 1	5	2	99.7994	0.4308
Mix19	SARS-Cov-2 study 1	5	1	99.7759	0.4369
Mix12	SARS-Cov-2 study 1	5	2	99.8495	47.8727
Mix31	SARS-Cov-2 study 1	5	1	99.7860	5.2844
Mix41	SARS-Cov-2 study 1	5	1	99.7693	8.2220
Mix15	SARS-Cov-2 study 1	5	1	99.8662	0.8416
Mix91	SARS-Cov-2 study 1	5	1	99.8428	36.0367
Mix17	SARS-Cov-2 study 1	5	2	99.7994	14.1083
Mix33	SARS-Cov-2 study 1	5	1	99.8462	0.3930
Mix43	SARS-Cov-2 study 1	5	1	99.6689	39.0405
Mix40	SARS-Cov-2 study 1	5	1	99.8662	0.4308
Mix30	SARS-Cov-2 study 1	5	1	99.8428	1.3674
Mix26	SARS-Cov-2 study 1	5	1	99.8595	3.6808
Mix86	SARS-Cov-2 study 1	5	1	99.8662	69.4182
Mix76	SARS-Cov-2 study 1	5	1	99.8194	7.7938
Mix51	SARS-Cov-2 study 1	5	1	99.8428	1.5020
Mix6	SARS-Cov-2 study 1	5	3	99.6656	1.0611
Mix64	SARS-Cov-2 study 1	5	2	99.7693	0.7332
Mix53	SARS-Cov-2 study 1	5	1	99.8930	29.1373
Mix90	SARS-Cov-2 study 1	5	1	99.9398	69.1771
Mix21	SARS-Cov-2 study 1	5	1	99.9398	53.6225
Mix69	SARS-Cov-2 study 1	5	1	99.7994	0.7771
Mix62	SARS-Cov-2 study 1	5	1	99.7994	12.6709
Mix65	SARS-Cov-2 study 1	5	2	99.8662	0.4268
Mix68	SARS-Cov-2 study 1	5	1	99.8830	1.1909
Mix81	SARS-Cov-2 study 1	5	2	99.8428	2.9321
Mix71	SARS-Cov-2 study 1	5	1	99.8428	0.4201
Mix56	SARS-Cov-2 study 1	5	1	99.7157	44.7814
Mix23	SARS-Cov-2 study 1	5	1	99.8863	1.6623
Mix73	SARS-Cov-2 study 1	5	1	99.7994	5.7167
Mix83	SARS-Cov-2 study 1	5	1	99.6422	7.1596
Mix67	SARS-Cov-2 study 1	5	2	99.7693	0.4527
Mix80	SARS-Cov-2 study 1	5	1	99.8428	29.6873
Mix70	SARS-Cov-2 study 1	5	3	99.7659	35.2359
Mix1	SARS-Cov-2 study 1	5	1	99.8428	2.7035
Mix100	SARS-Cov-2 study 1	5	1	99.7759	0.3946
Mix46	SARS-Cov-2 study 1	5	1	99.8428	1.0083
Mix36	SARS-Cov-2 study 1	5	5	99.2141	3.4969
Mix20	SARS-Cov-2 study 1	5	1	99.8595	10.8366
Mix96	SARS-Cov-2 study 1	5	1	99.7157	43.8423
Mix14	SARS-Cov-2 study 1	5	1	99.8863	1.6715
Mix38	SARS-Cov-2 study 1	5	1	99.7693	2.2430
