fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	gatk_length	gatk_cov	gatk_Depth	gatk_Segments	gatk_Reads
34	34	27985	68	93.5859	70	0	99.7806	29903	0.996165687	119.1701292	10	70216
32	28	27744	56	92.78	81	0	95.878	29903	0.997136411	344.9927976	7	205174
2933	2	29825	4	99.7392	165	56	2.0859	29903	0.999475696	1380.507679	2	824649
5	1	29842	2	99.796	171	56	96.9786	29903	0.998731052	492.3466973	3	293875
12	3	29759	6	99.5184	161	58	93.1571	29903	0.999363281	11430.42736	2	6833629
0	0	0	0	0	0	0	0	29903	0.293820892	0.38617779	139	226
0	0	0	0	0	0	0	0	29903	0.008524437	0.008524437	5	5
0	0	0	0	0	0	0	0	29903	0.469671331	0.905434429	195	527
103	5	1396	10	4.6684	4	9	3.9574	29903	0.88258377	2.634078298	138	1525
2232	31	27766	62	92.8536	78	0	3.2014	29903	0.995744919	98.06819327	9	58211
0	0	0	0	0	0	0	0	29903	0.173526288	0.199747743	90	117
40	33	27720	66	92.6997	81	0	93.0621	29903	0.99621132	243.6256784	9	144639
0	0	0	0	0	0	0	0	29903	0.081676231	0.095088749	30	37
65	33	27906	66	93.3217	78	0	52.4301	29903	0.996465432	247.3527322	9	146978
0	0	0	0	0	0	0	0	29903	0.024786211	0.027458578	14	16
49	49	19165	98	64.0906	17	0	99.8239	29903	0.983343776	10.3550282	31	5950
0	0	0	0	0	0	0	0	29903	0.573855623	1.970412873	196	1134
28	1	29866	2	99.8763	175	56	75.7079	29903	0.999200584	399.693563	2	237619
0	0	0	0	0	0	0	0	29903	0.197197562	0.276666225	98	161
29	18	29030	36	97.0806	70	18	88.46	29903	0.998301919	1034.033435	4	617980
171	32	27482	64	91.9038	86	0	34.087	29903	0.996226415	171.0322911	9	101571
47	24	8097	48	27.0776	63	47	54.9013	29903	0.920006951	6.513322521	93	3591
41	37	26853	74	89.8004	66	0	95.8109	29903	0.994125149	37.89216199	11	22096
22	5	29675	10	99.2375	190	56	86.6078	29903	0.996121823	78.7138475	4	29417
0	0	0	0	0	0	0	0	29903	0.483976966	0.791521619	199	462
0	0	0	0	0	0	0	0	29903	0.198494795	0.249817651	105	147
35	24	8259	48	27.6193	49	21	68.5182	29903	0.953964783	6.492519277	81	3668
0	0	0	0	0	0	0	0	29903	0.003410459	0.003410459	2	2
0	0	0	0	0	0	0	0	29903	0.503778338	1.244590842	171	716
1522	1	228	2	0.7625	0	0	0.047	29903	0.4473112	0.9784182	162	559
60	34	27975	68	93.5525	87	0	44.4814	29903	0.995159782	112.2433126	12	66582
0	0	0	0	0	0	0	0	29903	0.762199529	2.132443048	191	1246
2907	39	26968	78	90.1849	67	0	2.0506	29903	0.993046597	27.36783067	11	15912
0	0	0	0	0	0	0	0	29903	0.123050318	0.155841564	62	91
112	3	675	6	2.2573	5	9	1.6628	29903	0.618670735	1.850449763	183	1046
0	0	0	0	0	0	0	0	29903	0.001705343	0.003410687	1	2
3	2	439	4	1.4681	0	0	64.3695	29903	0.466198191	0.833528531	176	483
0	0	0	0	0	0	0	0	29903	0.121702977	0.21051056	63	123
41	40	26407	80	88.3089	148	56	99.1562	29903	0.995814663	27.9628736	10	15561
50	33	10872	66	36.3576	67	44	72.9053	29903	0.931068069	13.29671064	71	6920
20	2	655	4	2.1904	4	9	5.8177	29903	0.494367598	1.786032928	163	963
0	0	0	0	0	0	0	0	29903	0.696166603	1.339711698	214	784
29	27	8707	54	29.1175	46	9	94.7682	29903	0.927228553	6.190432117	83	3473
34	30	26723	60	89.3656	152	47	92.8171	29903	0.991561181	32.44320675	11	17573
157	4	29733	8	99.4315	174	56	39.0518	29903	0.998380279	147.4608304	4	82534
24	24	8241	48	27.5591	59	44	99.9149	29903	0.899570309	12.63192631	108	6259
0	0	0	0	0	0	0	0	29903	0.025456003	0.025456003	15	15
189	1	279	2	0.933	3	0	0.4077	29903	0.587241247	1.611167902	184	919
42	32	13757	64	46.0054	113	53	49.3852	29903	0.98024907	7.226952553	38	4051
0	0	0	0	0	0	0	0	29903	0.730903928	1.932954725	187	1116
0	0	0	0	0	0	0	0	29903	0.073814763	0.083516703	40	49
390	37	27147	74	90.7835	83	0	13.6797	29903	0.994192589	47.11594727	10	27828
19	13	3362	26	11.243	21	9	56.2018	29903	0.884183519	4.27591307	123	2449
0	0	0	0	0	0	0	0	29903	0.197202241	0.257599364	106	151
1	1	29820	2	99.7224	187	56	100	29903	0.999024526	561.981135	3	331862
92	17	29214	34	97.6959	178	59	59.4421	29903	0.9963591	27.07195234	5	9961
