sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.39	covid	17	1	29834	2	99.7693	22	0	82.6587	36093	1	29910	82.869254426066	100
rand.50	covid	83	1	29856	6	99.8428	12	0	49.2594	61028	1	30062	49.2593563610146	100
rand.28	covid	3	2	24901	6	83.2726	10	0	98.7247	25328	2	25052	98.9102969046115	83.7775661700333
rand.19	covid	6	1	29871	6	99.8930	10	6	93.9025	32046	1	30092	93.9025151344942	100
rand.49	covid	44	1	29849	4	99.8194	16	0	65.2088	45980	1	30022	65.2936059156155	100
rand.6	covid	154	1	29856	4	99.8428	22	0	33.0409	90494	1	29945	33.0905916414348	100
rand.72	covid	1045	1	29831	6	99.7592	24	0	5.8334	515133	1	30050	5.83344495499221	100
rand.94	covid	7	1	29796	2	99.6422	18	0	91.1834	32677	1	29810	91.2262447593108	99.6890180561149
rand.96	covid	4	1	29861	4	99.8595	20	0	95.2477	31395	1	29942	95.3718745023093	100
rand.100	covid	55	1	29849	4	99.8194	14	0	59.8069	50133	1	30022	59.8847066802306	100
rand.40	covid	28	1	29871	6	99.8930	10	6	74.4115	40440	1	30092	74.4114737883284	100
rand.7	covid	16	1	29849	4	99.8194	18	0	81.9880	36570	1	30022	82.0946130708231	100
rand.22	covid	26	3	29856	8	99.8428	18	0	80.7227	37168	3	30047	80.8410460611279	100
rand.51	covid	8	1	29858	4	99.8495	18	0	89.0485	33630	1	29969	89.1138864109426	100
rand.91	covid	27	1	29871	6	99.8930	24	0	75.2414	39974	1	30077	75.2414069144944	100
rand.57	covid	152	1	29796	2	99.6422	12	0	33.7139	88379	1	29820	33.7410470813202	99.7224595247684
rand.5	covid	7	1	29796	2	99.6422	12	0	93.6127	31829	1	29840	93.7509818090421	99.7893424620754
rand.78	covid	14	1	29865	6	99.8729	20	0	84.1094	35694	1	30022	84.1093741245027	100
rand.34	covid	30	1	29856	4	99.8428	18	0	74.2083	40292	1	29940	74.3075548495979	100
rand.8	covid	4	1	29856	4	99.8428	28	0	95.9900	31172	1	29950	96.0798152187861	100
rand.66	covid	1038	1	29843	4	99.7994	14	0	5.8600	510815	1	29934	5.86004717950726	100
rand.42	covid	77	1	29861	4	99.8595	22	0	50.1098	59679	1	29919	50.1332126878802	100
rand.15	covid	5	1	29836	6	99.7759	16	0	95.2692	31559	1	30066	95.2691783643335	100
rand.84	covid	30	7	29657	14	99.1773	34	0	79.1221	37681	7	29957	79.5016055837159	100
rand.23	covid	3	1	29869	4	99.8863	20	0	97.8892	30604	1	29974	97.9414455626715	100
rand.76	covid	421	1	29836	2	99.7759	18	0	13.3043	224258	1	29856	13.3132374318865	99.8427828931492
rand.62	covid	15	1	29847	2	99.8127	20	0	74.1430	40256	1	29863	74.1827305246423	99.8662063222434
rand.68	covid	632	1	29841	2	99.7927	18	0	9.7837	305007	1	29841	9.78370988206828	99.7927
rand.45	covid	1	1	29818	4	99.7157	12	0	99.9532	29907	1	29907	100	100
