sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.15	covid	8	1	29836	6	99.7759	16	0	92.2185	32603	1	30066	92.2185074993099	100
rand.7	covid	159	1	29849	4	99.8194	18	0	27.7456	108064	1	30022	27.7816849274504	100
rand.19	covid	59	1	29871	6	99.8930	10	6	50.8913	59130	1	30092	50.891256553357	100
rand.1	covid	197	1	29843	4	99.7994	14	0	24.1419	124166	1	29976	24.1418745872461	100
rand.3	covid	566	1	29836	6	99.7759	16	0	11.0366	272422	1	30066	11.0365535823098	100
rand.87	covid	526	1	29827	4	99.7458	20	4	11.1155	268921	1	29892	11.1155320707568	99.9631693968552
rand.22	covid	61	3	29856	8	99.8428	18	0	60.3100	49748	3	30047	60.3984079762001	100
rand.17	covid	117	32	16508	72	55.2052	11	0	30.9655	54564	32	17084	31.3100212594385	57.1314294160407
rand.73	covid	6	3	29815	8	99.7057	22	0	96.0063	31174	3	30001	96.2372489895426	100
rand.12	covid	396	1	29836	6	99.7759	22	4	14.0853	213101	1	30016	14.0853398153927	100
rand.74	covid	19	1	29796	2	99.6422	12	0	82.3913	36164	1	29810	82.4300409246765	99.6890180561149
rand.88	covid	240	1	29849	4	99.8194	28	0	20.8653	143698	1	30022	20.8924271736559	100
rand.58	covid	27	2	29858	6	99.8495	28	0	70.3597	42540	2	29951	70.4066760695816	100
rand.77	covid	12	1	29871	6	99.8930	10	6	87.3929	34433	1	30092	87.3929079661952	100
rand.21	covid	8	1	29822	4	99.7291	16	0	91.5015	32653	1	29899	91.565859185986	99.9865991851653
rand.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.2	covid	33	2	29833	4	99.7659	18	0	71.3096	41892	2	29902	71.3787835386231	99.9966460563805
rand.42	covid	327	1	29861	4	99.8595	22	0	18.0670	165523	1	29919	18.0754336255384	100
rand.79	covid	62	1	29858	4	99.8495	18	0	51.0058	58707	1	29966	51.0433168106018	100
rand.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.25	covid	19	1	29816	4	99.7091	18	0	79.7683	37466	1	29953	79.9471520845567	100
rand.61	covid	8	3	29818	10	99.7157	22	0	94.3420	31831	3	30045	94.3891175269391	100
rand.76	covid	500	1	29836	2	99.7759	18	0	11.2421	265396	1	29856	11.2496043647983	99.8427828931492
rand.89	covid	11	2	29772	4	99.5619	21	0	91.6287	32492	2	29809	91.7425827896098	99.6856333837162
rand.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.69	covid	43	3	29794	8	99.6355	21	0	60.9330	49067	3	29962	61.0634438624738	100
rand.46	covid	46	5	29861	12	99.8595	20	0	66.2154	45429	5	30161	66.3915120297607	100
rand.30	covid	61	1	29796	2	99.6422	24	0	58.3606	51055	1	29810	58.3880129272353	99.6890180561149
rand.59	covid	7	1	29858	4	99.8495	18	0	88.9506	33667	1	29969	89.0159503371254	100
rand.27	covid	249	1	29836	6	99.7759	16	0	19.7552	152193	1	30066	19.7551792789419	100
rand.93	covid	17	4	29834	14	99.7693	24	0	79.6924	37779	4	30180	79.8856507583578	100
rand.99	covid	19	3	29856	8	99.8428	18	0	81.9438	36558	3	29997	82.0531757754801	100
rand.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.64	covid	258	3	29806	8	99.6756	14	0	19.8690	151553	3	31024	20.4707264125421	100
rand.66	covid	1195	2	29843	6	99.7994	14	0	5.0529	593941	2	30393	5.11717493825144	100
rand.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.45	covid	5	1	29818	4	99.7157	12	0	96.0078	31136	1	29907	96.0528006166495	100
rand.23	covid	3	1	29869	4	99.8863	20	0	97.8892	30604	1	29974	97.9414455626715	100
rand.96	covid	21	1	29861	4	99.8595	20	0	79.7498	37496	1	29942	79.8538510774483	100
rand.10	covid	60	1	29855	4	99.8395	18	0	57.4609	52112	1	29969	57.5088271415413	100
rand.90	covid	247	1	29818	4	99.7157	24	0	19.4226	153965	1	29918	19.4316890202319	100
rand.72	covid	1087	1	29831	6	99.7592	24	0	5.5599	540476	1	30050	5.55991385371413	100
rand.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.5	covid	26	1	29796	2	99.6422	12	0	69.0521	43150	1	29840	69.1541135573581	99.7893424620754
rand.100	covid	192	1	29849	4	99.8194	14	0	24.6065	121850	1	30022	24.6384899466557	100
rand.70	covid	65	1	29856	4	99.8428	28	0	53.0841	56386	1	29960	53.1337566062498	100
rand.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.47	covid	50	1	29861	4	99.8595	28	0	63.9316	46811	1	29941	63.9614620495183	100
rand.20	covid	26	1	29833	2	99.7659	18	0	71.6812	41619	1	29850	71.7220500252289	99.822750477659
rand.49	covid	206	1	29849	4	99.8194	16	0	22.8505	131214	1	30022	22.8801804685476	100
rand.38	covid	100	1	29871	6	99.8930	10	6	44.1912	68095	1	30092	44.1912034657464	100
rand.26	covid	91	1	29856	6	99.8428	18	0	41.1031	73138	1	30062	41.1031201290711	100
rand.94	covid	17	1	29796	2	99.6422	18	0	84.2409	35370	1	29810	84.2804636697767	99.6890180561149
rand.92	covid	217	3	29843	12	99.7994	14	0	22.1797	137594	3	30966	22.5053418026949	100
rand.83	covid	1027	1	29843	4	99.7994	18	0	5.9088	506601	1	29934	5.90879212634795	100
rand.4	covid	14	1	29818	4	99.7157	12	0	86.9870	34381	1	29921	87.0277187981734	100
rand.53	covid	72	1	29825	4	99.7392	24	0	47.1639	63326	1	29867	47.1638821337207	99.8796541961442
rand.29	covid	335	1	29836	6	99.7759	24	0	16.6070	180767	1	30020	16.6070134482511	100
rand.34	covid	44	1	29856	4	99.8428	18	0	66.2296	45146	1	29940	66.3181677225003	100
rand.54	covid	312	1	29849	4	99.8194	14	6	17.5302	170688	1	29922	17.5302305961755	100
rand.37	covid	413	1	29845	4	99.8060	24	0	14.9148	200573	1	29925	14.9197549022052	100
rand.52	covid	12	1	29871	6	99.8930	14	6	86.9200	34610	1	30101	86.9719734180873	100
rand.86	covid	46	1	29839	2	99.7860	22	0	58.1736	51293	1	29898	58.2886553720781	99.983304668387
rand.43	covid	534	1	29843	4	99.7994	14	0	10.2924	290895	1	29940	10.2923735368432	100
rand.32	covid	31	1	29842	2	99.7960	12	0	73.7313	40474	1	29863	73.783169442111	99.8662270625293
rand.51	covid	13	1	29858	4	99.8495	18	0	87.3370	34289	1	29969	87.4012073842923	100
rand.35	covid	36	1	29861	4	99.8595	18	0	70.2160	42590	1	29959	70.3428034749941	100
rand.71	covid	27	1	29858	4	99.8495	18	0	73.0860	40975	1	29967	73.1348383160464	100
rand.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.97	covid	12	4	29771	12	99.5586	24	0	91.2823	32956	4	30210	91.6676781162762	100
rand.68	covid	505	1	29841	2	99.7927	18	0	11.7194	254629	1	29841	11.7194035243433	99.7927
rand.75	covid	20	1	29796	2	99.6422	12	0	76.6122	38892	1	29810	76.6481538619768	99.6890180561149
rand.13	covid	55	1	29796	2	99.6422	24	0	57.0455	52232	1	29810	57.0722928472967	99.6890180561149
rand.91	covid	45	1	29871	6	99.8930	24	0	57.1404	52637	1	30077	57.1404145373027	100
