fragment	annotation
k141_2039	Rhodococcus
k141_299	Rhodococcus
k141_1382	Others
k141_474	Rhodococcus
k141_294	Others
k141_1904	Rhodococcus
k141_1908	Others
k141_2180	Others
k141_1897	Others
k141_1807	Rhodococcus
k141_2019	Rhodococcus
k141_2140	Rhodococcus
k141_684	Rhodococcus
k141_651	Rhodococcus
k141_680	Rhodococcus
k141_1656	Rhodococcus
k141_1973	Rhodococcus
k141_1663	Rhodococcus
k141_2094	Others
k141_1703	Rhodococcus
k141_484	Rhodococcus
k141_1313	Rhodococcus
k141_1369	Rhodococcus
k141_1134	Rhodococcus
k141_1229	Others
k141_1883	Others
k141_1324	Others
k141_449	Others
k141_433	Others
k141_441	Others
k141_2145	Rhodococcus
k141_364	Rhodococcus
k141_1002	Rhodococcus
k141_1288	Others
k141_1587	Others
k141_1284	Others
k141_209	Rhodococcus
k141_1463	Others
k141_593	Rhodococcus
k141_553	Others
k141_544	Rhodococcus
k141_1834	Others
k141_2346	Rhodococcus
k141_2351	Rhodococcus
k141_250	Rhodococcus
k141_1371	Rhodococcus
k141_692	Rhodococcus
k141_1176	Others
k141_1945	Rhodococcus
k141_2321	Rhodococcus
k141_2316	Rhodococcus
k141_878	Others
k141_1137	Rhodococcus
k141_1836	Others
k141_1153	Rhodococcus
k141_2227	Rhodococcus
k141_407	Rhodococcus
k141_1145	Others
k141_964	Others
k141_657	Rhodococcus
k141_1994	Rhodococcus
k141_2025	Rhodococcus
k141_1614	Rhodococcus
k141_1178	Rhodococcus
k141_2222	Rhodococcus
k141_2050	Others
k141_698	Rhodococcus
k141_1955	Others
k141_693	Rhodococcus
k141_659	Rhodococcus
k141_704	Rhodococcus
k141_802	Rhodococcus
k141_2032	Rhodococcus
k141_1473	Rhodococcus
k141_1625	Rhodococcus
k141_2255	Rhodococcus
k141_887	Rhodococcus
k141_1787	Rhodococcus
k141_1783	Rhodococcus
k141_2096	Rhodococcus
k141_1475	Rhodococcus
k141_2283	Rhodococcus
k141_1962	Others
k141_1249	Others
k141_518	Rhodococcus
k141_814	Rhodococcus
k141_1257	Rhodococcus
k141_777	Rhodococcus
k141_2295	Rhodococcus
k141_2368	Others
k141_780	Rhodococcus
k141_2109	Others
k141_720	Rhodococcus
k141_157	Rhodococcus
k141_1794	Others
k141_169	Rhodococcus
k141_716	Rhodococcus
k141_975	Others
k141_1419	Others
