fragment	annotation
k141_998	Rhodococcus
k141_685	Rhodococcus
k141_1274	Rhodococcus
k141_1735	Rhodococcus
k141_1652	Rhodococcus
k141_1657	Rhodococcus
k141_2210	Rhodococcus
k141_851	Rhodococcus
k141_1828	Rhodococcus
k141_872	Rhodococcus
k141_1440	Rhodococcus
k141_1441	Others
k141_1314	Others
k141_1370	Rhodococcus
k141_1322	Others
k141_1108	Others
k141_1327	Others
k141_947	Rhodococcus
k141_1448	Rhodococcus
k141_451	Rhodococcus
k141_951	Rhodococcus
k141_957	Others
k141_435	Rhodococcus
k141_442	Rhodococcus
k141_1390	Rhodococcus
k141_1394	Rhodococcus
k141_1402	Rhodococcus
k141_1282	Rhodococcus
k141_628	Rhodococcus
k141_1459	Rhodococcus
k141_1588	Rhodococcus
k141_2272	Rhodococcus
k141_1296	Rhodococcus
k141_211	Rhodococcus
k141_539	Rhodococcus
k141_545	Others
k141_594	Others
k141_554	Others
k141_214	Others
k141_1136	Rhodococcus
k141_920	Rhodococcus
k141_221	Others
k141_921	Rhodococcus
k141_329	Others
k141_2352	Rhodococcus
k141_789	Rhodococcus
k141_1169	Others
k141_795	Rhodococcus
k141_1947	Rhodococcus
k141_1948	Rhodococcus
k141_1232	Rhodococcus
k141_1233	Others
k141_1838	Others
k141_1845	Others
k141_1139	Rhodococcus
k141_832	Others
k141_833	Rhodococcus
k141_635	Others
k141_1237	Rhodococcus
k141_368	Rhodococcus
k141_2022	Rhodococcus
k141_1990	Rhodococcus
k141_1995	Rhodococcus
k141_1888	Rhodococcus
k141_1408	Rhodococcus
k141_1922	Rhodococcus
k141_1926	Rhodococcus
k141_1470	Others
k141_256	Rhodococcus
k141_1179	Rhodococcus
k141_2055	Rhodococcus
k141_767	Others
k141_1183	Rhodococcus
k141_1186	Rhodococcus
k141_1956	Rhodococcus
k141_926	Others
k141_661	Rhodococcus
k141_800	Rhodococcus
k141_2029	Others
k141_665	Others
k141_2033	Rhodococcus
k141_2277	Rhodococcus
k141_1999	Rhodococcus
k141_2036	Rhodococcus
k141_1620	Rhodococcus
k141_1627	Others
k141_639	Rhodococcus
k141_1784	Rhodococcus
k141_1788	Rhodococcus
k141_2060	Rhodococcus
k141_1243	Rhodococcus
k141_513	Rhodococcus
k141_1331	Rhodococcus
k141_1476	Rhodococcus
k141_705	Rhodococcus
k141_2285	Others
k141_806	Rhodococcus
k141_816	Rhodococcus
k141_1251	Rhodococcus
k141_519	Rhodococcus
k141_1259	Others
k141_521	Others
k141_2297	Rhodococcus
k141_2358	Others
k141_2069	Rhodococcus
k141_2360	Others
k141_2328	Others
k141_2369	Others
k141_2111	Rhodococcus
k141_1491	Rhodococcus
k141_1494	Rhodococcus
k141_152	Others
k141_159	Others
k141_1795	Rhodococcus
k141_171	Rhodococcus
k141_1789	Rhodococcus
k141_1198	Rhodococcus
k141_708	Others
k141_1506	Rhodococcus
k141_1225	Others
k141_78	Others
k141_43	Rhodococcus
k141_84	Others
k141_52	Rhodococcus
k141_97	Rhodococcus
k141_1506	Rhodococcus
k141_1225	Others
k141_78	Others
k141_43	Rhodococcus
k141_84	Others
k141_52	Rhodococcus
k141_97	Rhodococcus
k141_897	Others
k141_55	Rhodococcus
k141_425	Others
k141_1595	Rhodococcus
k141_1512	Others
k141_2196	Rhodococcus
k141_2192	Rhodococcus
k141_1542	Rhodococcus
k141_1547	Rhodococcus
k141_1081	Rhodococcus
k141_1010	Rhodococcus
k141_745	Others
k141_1011	Others
k141_525	Others
k141_672	Others
k141_348	Others
k141_1014	Rhodococcus
k141_1120	Rhodococcus
k141_725	Rhodococcus
k141_855	Rhodococcus
k141_860	Rhodococcus
k141_727	Rhodococcus
k141_102	Rhodococcus
k141_729	Others
k141_190	Others
k141_1301	Rhodococcus
k141_1750	Rhodococcus
k141_2305	Rhodococcus
k141_2303	Others
k141_1348	Rhodococcus
k141_985	Rhodococcus
k141_980	Rhodococcus
k141_2153	Rhodococcus
k141_63	Rhodococcus
k141_1928	Rhodococcus
k141_825	Rhodococcus
k141_129	Others
k141_1936	Others
k141_597	Rhodococcus
k141_137	Others
k141_1307	Rhodococcus
k141_1350	Others
k141_640	Rhodococcus
k141_1722	Others
k141_1717	Rhodococcus
k141_575	Rhodococcus
k141_747	Rhodococcus
k141_571	Rhodococcus
k141_1216	Rhodococcus
k141_1715	Rhodococcus
k141_1565	Rhodococcus
k141_1377	Others
k141_1432	Rhodococcus
k141_74	Rhodococcus
k141_68	Rhodococcus
k141_353	Rhodococcus
k141_839	Rhodococcus
k141_2132	Rhodococcus
k141_317	Rhodococcus
k141_1062	Rhodococcus
k141_1058	Others
k141_616	Rhodococcus
k141_269	Others
k141_275	Others
k141_1679	Rhodococcus
k141_282	Rhodococcus
k141_288	Rhodococcus
k141_1024	Rhodococcus
k141_1685	Others
k141_2009	Others
k141_1218	Rhodococcus
k141_1123	Rhodococcus
k141_2306	Rhodococcus
k141_149	Rhodococcus
k141_230	Rhodococcus
k141_563	Others
k141_1528	Rhodococcus
k141_1531	Rhodococcus
k141_469	Others
k141_2239	Others
k141_737	Rhodococcus
k141_1966	Rhodococcus
k141_905	Rhodococcus
k141_1755	Others
k141_1092	Rhodococcus
k141_6	Rhodococcus
k141_17	Rhodococcus
k141_11	Rhodococcus
k141_20	Others
k141_1032	Others
k141_31	Others
k141_502	Others
k141_1824	Rhodococcus
k141_503	Rhodococcus
k141_1576	Rhodococcus
k141_1571	Others
k141_1581	Rhodococcus
k141_1760	Others
k141_196	Rhodococcus
k141_1270	Rhodococcus
k141_1761	Others
k141_996	Rhodococcus
k141_576	Rhodococcus
k141_1309	Rhodococcus
k141_1358	Rhodococcus
k141_585	Others
k141_2016	Rhodococcus
k141_1688	Rhodococcus
k141_1874	Rhodococcus
k141_1159	Rhodococcus
k141_237	Rhodococcus
k141_396	Rhodococcus
k141_1363	Rhodococcus
k141_1456	Rhodococcus
k141_2088	Rhodococcus
k141_749	Rhodococcus
k141_1163	Rhodococcus
k141_375	Others
k141_1534	Others
k141_1045	Rhodococcus
k141_1050	Others
k141_1054	Others
k141_2041	Rhodococcus
k141_751	Rhodococcus
k141_296	Others
k141_1166	Rhodococcus
k141_1099	Rhodococcus
k141_1385	Rhodococcus
k141_2171	Others
k141_1130	Others
k141_1765	Rhodococcus
k141_2175	Rhodococcus
k141_913	Rhodococcus
k141_478	Others
k141_533	Others
k141_482	Rhodococcus
k141_1585	Rhodococcus
k141_1582	Rhodococcus
k141_682	Rhodococcus
k141_323	Others
k141_326	Rhodococcus
k141_202	Rhodococcus
k141_1739	Rhodococcus
k141_1736	Rhodococcus
k141_1658	Others
k141_852	Rhodococcus
k141_1825	Rhodococcus
k141_1664	Rhodococcus
k141_1986	Rhodococcus
k141_1132	Rhodococcus
k141_400	Rhodococcus
k141_1315	Others
k141_1320	Others
k141_1325	Others
k141_1772	Rhodococcus
k141_1230	Rhodococcus
k141_948	Rhodococcus
k141_2225	Rhodococcus
k141_1196	Rhodococcus
k141_2146	Rhodococcus
k141_952	Rhodococcus
k141_436	Others
k141_1886	Rhodococcus
k141_1395	Rhodococcus
k141_1391	Rhodococcus
k141_1403	Rhodococcus
k141_1286	Rhodococcus
k141_622	Rhodococcus
k141_1289	Rhodococcus
k141_1816	Rhodococcus
k141_1464	Rhodococcus
k141_1292	Rhodococcus
k141_2213	Others
k141_591	Rhodococcus
k141_540	Rhodococcus
k141_595	Others
k141_555	Others
k141_251	Rhodococcus
k141_1829	Rhodococcus
k141_687	Others
k141_2347	Rhodococcus
k141_922	Rhodococcus
k141_2353	Others
k141_330	Others
k141_1170	Others
k141_1372	Rhodococcus
k141_1949	Others
k141_2248	Rhodococcus
k141_1839	Others
k141_2250	Rhodococcus
k141_1846	Others
k141_1140	Rhodococcus
k141_633	Rhodococcus
k141_1336	Rhodococcus
k141_636	Rhodococcus
k141_369	Others
k141_2275	Rhodococcus
k141_409	Rhodococcus
k141_1593	Rhodococcus
k141_1991	Others
k141_1889	Others
k141_2324	Rhodococcus
k141_1409	Rhodococcus
k141_760	Rhodococcus
k141_2051	Rhodococcus
k141_1471	Others
k141_257	Rhodococcus
k141_1180	Rhodococcus
k141_695	Rhodococcus
k141_2057	Rhodococcus
k141_1187	Rhodococcus
k141_927	Others
k141_1957	Rhodococcus
k141_662	Rhodococcus
k141_1298	Rhodococcus
k141_1443	Rhodococcus
k141_2034	Others
k141_510	Rhodococcus
k141_768	Rhodococcus
k141_1621	Rhodococcus
k141_2000	Rhodococcus
k141_888	Rhodococcus
k141_1410	Rhodococcus
k141_1743	Rhodococcus
k141_1485	Rhodococcus
k141_2098	Rhodococcus
k141_2061	Others
k141_1332	Rhodococcus
k141_2099	Rhodococcus
k141_706	Rhodococcus
k141_1477	Rhodococcus
k141_803	Rhodococcus
k141_817	Rhodococcus
k141_807	Rhodococcus
k141_1252	Rhodococcus
k141_1260	Rhodococcus
k141_1334	Rhodococcus
k141_1630	Rhodococcus
k141_2289	Rhodococcus
k141_2068	Rhodococcus
k141_2361	Others
k141_2070	Rhodococcus
k141_2112	Rhodococcus
k141_2370	Others
k141_718	Rhodococcus
k141_1492	Others
k141_153	Others
k141_160	Others
k141_165	Others
k141_172	Others
k141_1199	Rhodococcus
k141_1487	Rhodococcus
k141_709	Rhodococcus
k141_1507	Others
k141_1508	Rhodococcus
k141_1500	Rhodococcus
k141_44	Others
k141_85	Rhodococcus
k141_92	Rhodococcus
k141_414	Rhodococcus
k141_1507	Others
k141_1508	Rhodococcus
k141_1500	Rhodococcus
k141_44	Others
k141_85	Rhodococcus
k141_92	Rhodococcus
k141_414	Rhodococcus
k141_416	Rhodococcus
k141_1373	Rhodococcus
k141_415	Rhodococcus
k141_1596	Rhodococcus
k141_1597	Rhodococcus
k141_2197	Rhodococcus
k141_1543	Others
k141_2193	Others
k141_1548	Rhodococcus
k141_1549	Rhodococcus
k141_1203	Rhodococcus
k141_1003	Rhodococcus
k141_1552	Rhodococcus
