cohort	raw	host	filtered	clean
COVID	66689086	65531445	191671	965970
Control	34733084	34432821	231345	68918
Control	1405181	NA	NA	1
Control	44952813	44037762	107636	807415
COVID	50000001	49117132	1705	881164
Control	18858649	18755682	7721	95246
Control	17199550	17092938	48551	58061
Control	28561012	28312297	36836	211879
Control	30642714	28525206	1005428	1112080
Control	22864064	22814213	13638	36213
Control	38095400	38094453	16	931
Control	18660054	18599045	7743	53266
COVID	13006737	10045148	2620169	341420
Control	17324799	17097346	147844	79609
COVID	35310482	34930152	261665	118665
Control	23522807	17461145	4195436	1866226
Control	42540638	40261001	1719379	560258
Control	18186033	18149046	4475	32512
Control	18242407	18135043	25664	81700
Control	28495527	24184674	1313857	2996996
Control	30425535	30348796	7574	69165
Control	16963600	16269285	141970	552345
Control	4738424	4734998	455	2971
Control	15359452	15124611	106139	128702
Control	42056339	41638494	1511	416334
Control	7010035	6968126	5079	36830
Control	41026787	39731577	716051	579159
COVID	21222685	19262302	1338888	621495
Control	20830802	20285971	132521	412310
Control	7036572	6987787	2852	45933
COVID	14099169	13960805	16533	121831
Control	44561331	44419140	1270	140921
Control	13476367	13425780	6494	44093
Control	51600762	49661791	1585520	353451
Control	10631975	10619892	11251	832
COVID	29159086	23646117	5019404	493565
Control	19745676	16807982	971906	1965788
COVID	13593561	13530375	8039	55147
Control	14192885	14192725	13	147
Control	13945670	13717124	33898	194648
COVID	18197965	17616602	151978	429385
Control	54301656	53192724	172040	936892
Control	40676905	40421281	55986	199638
COVID	18158683	17172480	532307	453896
Control	30092009	29630810	45263	415936
Control	23699402	23395856	75852	227694
Control	22201907	22102705	40360	58842
COVID	17834880	14031454	2331992	1471434
Control	39047587	34375862	3915584	756141
COVID	12709355	5160047	6146757	1402551
Control	42070703	41251657	599142	219904
COVID	33290675	31174052	1540248	576375
Control	150782669	149080751	93257	1608661
COVID	50000001	49730468	65188	204345
Control	23124252	22711277	233627	179348
Control	13274856	13214944	5631	54281
Control	65047292	64863320	30019	153953
COVID	30621213	30153891	109542	357780
Control	23194933	22806869	154582	233482
Control	26486689	26333657	111314	41718
Control	25932943	25818110	39190	75643
Control	68561425	66515648	685724	1360053
Control	36848267	35739853	913882	194532
Control	28647756	28566212	6979	74565
Control	43101980	39041716	3639185	421079
Control	33198952	33142668	40941	15343
Control	10212748	10127856	70394	14498
Control	14220418	14135125	281	85012
Control	50730666	50242990	103762	383914
Control	51924114	51426288	201011	296815
Control	17900971	16435603	1004648	460720
Control	38542742	38369308	119032	54402
COVID	22748568	21578222	442067	728279
Control	8758847	8750376	7732	739
Control	16034489	14567061	792992	674436
Control	1381019	1373090	4111	3818
Control	34146022	33948705	26787	170530
Control	23506842	23270238	10254	226350
Control	12056506	11562290	49992	444224
Control	9582943	9538219	9486	35238
COVID	25053841	24174409	42747	836685
Control	11755025	11639316	58799	56910
Control	12424403	12417187	1292	5924
Control	5178398	5069713	72622	36063
Control	35316882	31475565	3131014	710303
Control	63760725	62817893	67231	875601
Control	23194957	23091931	38288	64738
Control	72772089	71048738	600304	1123047
Control	22965447	22774455	8623	182369
Control	34223255	31428299	2161335	633621
Control	23780911	21746894	1245048	788969
Control	61081501	60802106	32362	247033
Control	15849730	15796832	14246	38652
Control	12939505	12835668	4604	99233
Control	37096759	34691741	881009	1524009
Control	33096438	30775011	1138627	1182800
Control	61505488	61344296	106557	54635
Control	17871142	17712210	128059	30873
COVID	11320856	7867417	240125	3213314
Control	65569184	65533765	16982	18437
COVID	33016767	32277583	151850	587334
Control	23176824	17294657	4977342	904825
COVID	16682545	16607004	53227	22314
Control	43091250	33300764	7739547	2050939
COVID	13174206	13106824	50330	17052
Control	17716201	17693336	908	21957
Control	107074037	92623414	12523719	1926904
COVID	46881595	46104012	345790	431793
Control	16480051	16376726	49613	53712
Control	37040395	36580810	407801	51784
Control	21134788	21100521	187	34080
Control	15562461	15272117	106069	184275
Control	39100840	36595305	1843338	662197
Control	13966669	13817349	69295	80025
Control	16875768	15676236	513759	685773
Control	22151664	21354705	666551	130408
Control	11802260	11762684	6302	33274
Control	35015689	34026414	99807	889468
Control	20236376	19149131	508185	579060
Control	32649384	32510286	4419	134679
Control	31129303	31071709	52792	4802
COVID	18904441	18879697	12103	12641
Control	15314689	15215847	71569	27273
Control	9536763	9511610	21960	3193
Control	13789600	12810000	647018	332582
COVID	25494284	23995884	536493	961907
Control	37380633	36598955	128464	653214
Control	19239549	18019621	501187	718741
Control	22654704	22209024	51373	394307
Control	7900129	6128285	550621	1221223
Control	18909181	18302258	333258	273665
Control	9908177	9846100	50678	11399
Control	23399726	22533111	259879	606736
COVID	34557039	34255192	171222	130625
Control	100645589	100460887	22195	162507
Control	52977316	52944340	27124	5852
Control	27800231	24704112	1771954	1324165
Control	26487972	26362734	112707	12531
Control	36172988	35606421	423245	143322
COVID	18644322	18118502	208463	317357
Control	11045285	9472780	490544	1081961
Control	2604597	2602230	1374	993
Control	21764022	21337369	290486	136167
Control	13448392	13339671	13853	94868
Control	16462976	14296739	1241614	924623
Control	23021143	22954571	7014	59558
Control	16500706	16086762	140495	273449
Control	24889544	24203841	209972	475731
Control	21577208	18775565	1866317	935326
Control	21010143	20242497	386354	381292
COVID	17008146	16896453	96070	15623
Control	72005039	71962833	30372	11834
Control	24026269	23703228	274319	48722
Control	5341040	5315906	16550	8584
COVID	29558886	27266645	1823387	468854
Control	33175657	33119466	6635	49556
Control	39601326	39317227	104447	179652
Control	7923075	7857114	15804	50157
Control	35179553	34713260	103865	362428
Control	1441166	NA	NA	1
COVID	21168313	21110579	6460	51274
Control	18456025	18297419	13495	145111
COVID	44779951	41853229	2097097	829625
Control	44595338	44092507	286293	216538
Control	108716068	107895193	619389	201486
Control	24083026	24009820	11189	62017
Control	18609413	18124096	49419	435898
COVID	40395516	39727142	283803	384571
Control	20845328	20744429	22346	78553
Control	17966961	17745993	48663	172305
Control	28954334	28472534	114537	367263
Control	19911705	19399271	287876	224558
Control	21616015	21431011	25713	159291
Control	41424055	41381281	7290	35484
COVID	26557193	26432798	30132	94263
Control	60682553	59809393	670825	202335
Control	12642475	12556080	13553	72842
Control	14079486	14013418	63304	2764
Control	7302508	7108258	114366	79884
Control	29739186	25023339	2466649	2249198
COVID	7085701	5328621	939193	817887
Control	20646345	18238074	1225543	1182728
COVID	14942988	13291314	448240	1203434
Control	98941005	97384466	1162390	394149
COVID	21723655	20960390	523818	239447
COVID	25619401	25466861	27054	125486
COVID	31256630	30270181	193176	793273
Control	34887074	34754945	1168	130961
Control	40030029	39402601	186758	440670
Control	31745260	31407465	196518	141277
Control	25668592	24657733	193449	817410
Control	13132253	13071910	10459	49884
Control	28324548	27984878	260268	79402
Control	28717955	24749169	2641496	1327290
COVID	31063979	30691758	52110	320111
Control	22803304	22701041	17140	85123
Control	4251523	4210263	22448	18812
Control	30770768	30538680	78716	153372
Control	47324362	47223557	91345	9460
Control	26791473	22081478	4508782	201213
COVID	24143962	15464703	3281994	5397265
Control	19452284	19443138	7621	1525
Control	42249661	42153723	29037	66901
Control	24688524	23258596	1221031	208897
COVID	31283055	27671879	3031297	579879
Control	7280208	7137678	69851	72679
Control	6962851	6915190	45664	1997
COVID	43272627	42393606	429961	449060
Control	33421095	33275286	32884	112925
Control	39960162	39887747	9764	62651
Control	10167968	10158000	183	9785
Control	49634585	49096335	352129	186121
Control	41585040	41170598	298732	115710
COVID	23728224	23424771	58709	244744
COVID	23796790	20965957	1442532	1388301
Control	23448038	22698335	106493	643210
Control	33295231	31592946	1500646	201639
COVID	27610115	27251759	57629	300727
Control	55320392	54161850	796433	362109
Control	44135241	43770008	117182	248051
Control	24650370	24326745	76185	247440
Control	14619802	14576435	10424	32943
Control	26420176	26235129	40013	145034
Control	35215987	35214489	1047	451
COVID	19578362	19488452	6214	83696
Control	24659419	24573422	8307	77690
Control	53143102	52453065	216918	473119
Control	14932241	14621837	28566	281838
COVID	24052946	22287208	1158572	607166
Control	14498064	14492198	5505	361
Control	46449360	44475561	1623304	350495
Control	68050850	58982962	1749919	7317969
Control	23300849	22895629	127933	277287
COVID	41671840	40240159	458103	973578
Control	44349526	43793872	469647	86007
Control	14163610	14085524	26458	51628
Control	51187038	51161235	19862	5941
COVID	32739826	32298515	320107	121204
Control	16379905	16352164	3590	24151
Control	9179253	9077612	73898	27743
Control	9756939	9663097	18794	75048
Control	48247112	40989985	3891568	3365559
COVID	21981658	20543156	815941	622561
Control	50311099	49529577	195233	586289
Control	14768532	14653329	22259	92944
Control	32575891	31132104	1129075	314712
Control	33014088	32504205	137445	372438
Control	33538434	27865039	4945838	727557
COVID	22335357	20748259	616783	970315
Control	50307552	50238075	41226	28251
Control	47496651	47332335	117416	46900
Control	27298957	26455240	80583	763134
Control	33523779	33253943	48726	221110
Control	9404982	9277138	118941	8903
Control	5988558	5911201	39917	37440
Control	13947601	11081912	1576350	1289339
Control	15060846	14809190	66598	185058
Control	47220118	46629917	111812	478389
Control	27785747	26727431	98037	960279
Control	11340485	11315429	3964	21092
Control	31203696	31081242	47737	74717
Control	28980261	27522633	259798	1197830
Control	26755888	26578290	122333	55265
COVID	14336080	14267550	7802	60728
Control	18812710	18718828	22637	71245
Control	20679357	20272540	246728	160089
Control	56887937	55759139	84103	1044695
Control	17308547	17229349	72984	6214
Control	42912233	40844927	861266	1206040
Control	20217048	18889185	789559	538304
Control	15673030	15614284	6220	52526
COVID	10828335	10801291	6259	20785
Control	5828773	5742413	16517	69843
Control	36965484	36937312	21048	7124
Control	26193255	25733864	197402	261989
Control	76566657	75228631	968796	369230
COVID	27952174	27531364	120739	300071
Control	23682488	23387083	151280	144125
Control	30788688	22364725	6853195	1570768
Control	66537798	65506589	122820	908389
Control	10449858	10203672	60736	185450
Control	48292931	48035758	56551	200622
Control	39996911	38134191	1295145	567575
Control	16350042	13613428	1135089	1601525
Control	24418817	24153908	120231	144678
Control	33277336	31061171	1705213	510952
Control	38031832	37163353	99737	768742
Control	20306597	20251713	8858	46026
COVID	17837866	15107769	2132001	598096
Control	5001507	4988494	2319	10694
COVID	22445999	18791853	1925759	1728387
Control	28689080	28669227	18580	1273
Control	10977729	10855471	110295	11963
COVID	24130630	20916202	1250922	1963506
Control	13436951	13384872	1779	50300
COVID	27601522	20569698	3389420	3642404
Control	21510218	20611981	504357	393880
Control	23730580	23676941	12622	41017
Control	56196057	56196005	3	49
Control	24516681	24448334	9398	58949
Control	23817435	23667541	108967	40927
Control	40588203	39214631	1138385	235187
Control	13823170	13666176	81932	75062
COVID	61553999	60334713	703675	515611
Control	20087014	19126266	768090	192658
Control	10618013	10593909	7462	16642
Control	87796587	86643096	192721	960770
COVID	39640917	37891965	788935	960017
COVID	14478243	14450423	4801	23019
Control	29547985	29509208	32531	6246
Control	35197212	34796187	79873	321152
COVID	14203140	10086976	1968948	2147216
Control	53337774	49958570	2707319	671885
Control	3473346	3473241	61	44
COVID	58143849	57545522	403965	194362
Control	19307038	19116451	36889	153698
COVID	22291037	21863403	108467	319167
Control	14656442	14332262	234538	89642
Control	24464776	23128622	590608	745546
Control	33615414	33205868	338375	71171
Control	17357978	17286688	15874	55416
