sample	round	prj	nCtg	nPath	cov	signal	annotatedRatio
rand.48	3	Sardi_Zika_2016_mock	278	1	4.14750781681074	0.450176177595001	86.8587815345125
rand.49	3	Sardi_Zika_2016_mock	262	0	0	0	85.9735472452901
rand.5	3	Sardi_Zika_2016_mock	129	5	49.4758138679419	11.0372558673888	89.6872982197214
rand.50	3	Sardi_Zika_2016_mock	340	9	87.4563178223285	7.34663607499594	88.225485046316
rand.51	3	Sardi_Zika_2016_mock	151	2	26.2185028508369	5.12908158675902	90.6663632571017
rand.52	3	Sardi_Zika_2016_mock	232	0	0	0	85.5427820465766
rand.53	3	Sardi_Zika_2016_mock	591	12	97.3330881000552	4.70525473459589	86.780869208233
rand.54	3	Sardi_Zika_2016_mock	274	1	98.5194040831341	9.26337452118047	90.6314324921857
rand.55	3	Sardi_Zika_2016_mock	299	1	98.5102078352032	8.6894448229988	87.8007178138659
rand.56	3	Sardi_Zika_2016_mock	171	1	99.4298326282877	11.3051297601372	94.6419729799825
rand.57	3	Sardi_Zika_2016_mock	331	9	85.4975170130587	7.37991855656191	87.2137470003428
rand.58	3	Sardi_Zika_2016_mock	158	1	98.5102078352032	15.2812450962211	85.9548386010406
rand.59	3	Sardi_Zika_2016_mock	559	10	92.2567592422292	4.76054894368202	85.9162929745889
rand.6	3	Sardi_Zika_2016_mock	356	2	7.58690454294648	0.636583897899659	85.4759926382083
rand.60	3	Sardi_Zika_2016_mock	273	4	15.0818466065845	1.64847315200129	86.6279663961736
rand.61	3	Sardi_Zika_2016_mock	221	0	0	0	86.9576854758255
rand.62	3	Sardi_Zika_2016_mock	186	1	98.5194040831341	13.1873407437498	88.0962509216721
rand.63	3	Sardi_Zika_2016_mock	134	1	98.5286003310649	16.5319096407851	86.5622804747292
rand.64	3	Sardi_Zika_2016_mock	523	4	16.4888725400037	0.91703235441536	87.2197760789557
rand.65	3	Sardi_Zika_2016_mock	252	1	98.5286003310649	9.86483500294638	92.1200482154167
rand.66	3	Sardi_Zika_2016_mock	292	1	4.03715284164061	0.419758280425304	86.9278409909261
rand.67	3	Sardi_Zika_2016_mock	99	1	98.5194040831341	15.7999528051442	91.8183251300555
rand.68	3	Sardi_Zika_2016_mock	189	0	0	0	83.9939744801512
rand.69	3	Sardi_Zika_2016_mock	99	1	98.5286003310649	15.4987848628631	92.47954257541
rand.7	3	Sardi_Zika_2016_mock	361	11	92.3579179694685	7.44267737775867	88.1532487289323
rand.70	3	Sardi_Zika_2016_mock	488	2	7.53172705536141	0.456305540852996	84.6719577311856
rand.71	3	Sardi_Zika_2016_mock	95	1	98.5194040831341	21.641987030565	83.3917706507167
rand.72	3	Sardi_Zika_2016_mock	288	7	64.2541842928085	6.40868065746991	87.7946235189196
rand.73	3	Sardi_Zika_2016_mock	275	1	4.03715284164061	0.43914052496799	86.5185021451034
rand.74	3	Sardi_Zika_2016_mock	169	1	98.5286003310649	11.4072165497269	91.4516458556166
rand.75	3	Sardi_Zika_2016_mock	275	6	54.8372264116241	5.82273042408382	88.2680463679157
rand.76	3	Sardi_Zika_2016_mock	234	1	3.00717307338606	0.385131792806162	81.8453753295735
rand.77	3	Sardi_Zika_2016_mock	287	10	89.4978848629759	8.89457569803043	87.3077656170059
rand.78	3	Sardi_Zika_2016_mock	165	1	98.5194040831341	14.746651616722	87.0507314237737
rand.79	3	Sardi_Zika_2016_mock	317	1	4.70847894059224	0.445581605834334	84.7290941832614
rand.8	3	Sardi_Zika_2016_mock	349	10	91.4474894243149	7.44016221109889	85.9638344825356
rand.80	3	Sardi_Zika_2016_mock	66	1	98.5102078352032	30.7110091743119	91.7535584243628
rand.81	3	Sardi_Zika_2016_mock	231	1	98.5194040831341	10.9327482396163	86.6253423009499
rand.82	3	Sardi_Zika_2016_mock	247	1	4.70847894059224	0.582135710387484	83.0844007319305
rand.83	3	Sardi_Zika_2016_mock	465	11	95.8340996873276	5.98107132403161	85.0133079383684
rand.84	3	Sardi_Zika_2016_mock	51	1	98.5194040831341	33.7640644205616	86.2961553102398
rand.85	3	Sardi_Zika_2016_mock	127	2	8.03752069155784	1.93585540887747	84.2096941771695
rand.86	3	Sardi_Zika_2016_mock	537	6	20.8938752988781	1.13646595103993	86.2592716270504
rand.87	3	Sardi_Zika_2016_mock	510	10	94.0132425970204	5.23113608219991	88.2501903316901
rand.88	3	Sardi_Zika_2016_mock	379	1	98.5286003310649	6.25237075379758	90.8892278004295
rand.89	3	Sardi_Zika_2016_mock	422	3	11.1826374839066	0.798702109072757	87.538982063285
