prj	cohort	asm_contig	asm_cov	signal_ratio	gatk_cov	gatk_reads	raw	clean	type
p2	COVID	13	18.5299	0.0522	0.524733237	169	1252636	680349	PE
p2	COVID	1	99.8562	0.3607	0.998998085	12395	1315138	522206	PE
p2	Control	0	0	0	0	0	84774	12907	PE
p2	Control	0	0	0	0	0	4729	3458	PE
p2	Control	0	0	0	0.020259428	2	9967	9128	PE
p2	Control	0	0	0	0.041574761	6	14983	12655	PE
p2	Control	0	0	0	0.105224503	21	49950	44011	PE
p2	Control	0	0	0	0	0	1354	1215	PE
p2	Control	0	0	0	0.010131069	1	9660	8187	PE
p2	Control	0	0	0	0.010030761	1	27119	15274	PE
p2	Control	0	0	0	0.021461523	3	3000	2058	PE
p2	Control	0	0	0	0.002975991	1	2197	2012	PE
p2	Control	0	0	0	0.058336118	6	13784	11930	PE
p2	Control	0	0	0	0.010164504	1	4205	2916	PE
p2	Control	0	0	0	0	0	15399	3151	PE
p2	Control	0	0	0	0.187808457	27	24695	21995	PE
p2	Control	0	0	0	0.001103458	2	10691	6675	PE
p2	Control	0	0	0	0.026539207	7	17447	15246	PE
p2	Control	0	0	0	0	0	4515	3746	PE
p2	Control	0	0	0	0.061808827	12	42397	37052	PE
p2	Control	0	0	0	0.249625312	63	177028	142751	PE
p2	Control	0	0	0	0.010164504	1	12713	12442	PE
p2	Control	0	0	0	0	0	145070	102879	PE
p2	Control	0	0	0	0.020020723	7	654543	524130	PE
p2	Control	0	0	0	0	0	53419	29932	PE
p2	Control	0	0	0	0	0	11839	9240	PE
p2	Control	0	0	0	0	0	23625	20153	PE
p2	Control	0	0	0	0.522148138	167	303081	120767	PE
p2	Control	0	0	0	0.004479208	7	1588974	1485232	PE
p2	Control	0	0	0	0.009327984	3	1435382	663348	PE
p2	Control	0	0	0	0	0	1357364	264180	PE
p2	Control	0	0	0	0	0	1512887	250399	PE
p2	Control	0	0	0	0	0	1509143	309809	PE
