cohort	others	otherVirus	fungi	unclassified	bacteria	covid
Control	25	1022	200	2416	46627	0
Control	649	0	94	54959	1347	0
Control	3807	184	15	109313	388538	0
Control	2659	9215	2877	432338	65587	2
Control	2808	12	15	89320	103	0
Control	821	5854	114	413055	1864	0
Control	140	6	18	43707	3612	0
Control	71	19	265	421	8661	28
Control	561	29	110	81026	2492	0
Control	40	1826	32	1230	2677	0
Control	69	79	4	35208	1582	0
Control	87	869	39	76544	193	0
Control	1167	69	26	60161	772	0
Control	1411	10	6	40663	44674	0
COVID	2629	1495	97	670	2992	32328
COVID	134	3	44	98774	1617	17
COVID	2029	256	29	109762	109175	1145
Control	13985	33	97	254010	289725	0
Control	622	10	4	68575	161	0
Control	583	54	329	331239	990	0
Control	2056	20	380	47634	192	0
Control	235	45	9	178641	1020	0
Control	2401	178	294	92923	607	0
Control	348	7	101	237175	80	0
Control	1883	54	317	150810	64983	0
Control	4798	180	116	618154	196747	0
Control	156	2313	7	96133	2321	0
Control	54	3	155	497	4690	0
Control	926	10	5	37013	21292	0
Control	4172	757	575	84543	9220	0
Control	4332	30	206	1265170	589918	0
Control	392	1	7	52331	1231	0
Control	8319	15	287	301377	5216	0
Control	131	0	929	1278	8006	0
Control	2507	1444	4429	213066	175850	0
COVID	110	39	133	409	5045	995
Control	2178	73	10	143339	504	0
Control	4817	3	1	22907	1604	0
Control	208	1	2	40177	1029	0
Control	162	3147	18	137377	456	0
Control	477	115	246	59149	2073	0
Control	164	30	44	152882	3189	2
Control	6	0	129	32	184	0
Control	185	3703	4	115787	1044	0
Control	6254	144	2544	332997	208349	0
Control	1321	3318	812	18387	392184	0
Control	563	3	151	76283	104902	0
Control	433	3	2	44737	2389	0
Control	309	1	4	41353	1662	0
Control	3255	546	421	115009	1316	0
COVID	9917	2338	95	315010	72688	61410
Control	530	1374	80	123831	27791	0
Control	405	76282	6	170575	5946	0
Control	307	791469	14	304453	609	0
Control	1462	3	13	122268	1462	0
Control	17	3	51	113	2935	17
COVID	51	17	5	78937	555	22
Control	129	13	4	13943	2213	0
Control	132	406	1	102436	61	0
Control	3958	171	17	39564	65066	0
Control	221	22	92	18095	5761	0
Control	165	0	1	38215	11	0
Control	1720	13	1674	1589	40869	0
Control	11	6	0	909	32919	0
Control	254	476	771	24150	179	0
COVID	3194	210	37	279801	75119	4755
Control	89	4	3	49289	2796	0
