sample	project	Mix	gatkReads	asmRef	asmFrag	asmPathogenFrag	asmCov	asmSignal	Virus	CleanSizeRNA	CleanSizeDNA
Zhang_Dengue_2021.Mix2.rand.88	Zhang_Dengue_2021	2	6667	q	194	1	99.3452	11.0202556865349	Dengue	1279139	0
Zhang_Dengue_2021.Mix6.rand.77	Zhang_Dengue_2021	6	148964	q	1709	1	100	0.836734455671282	Dengue	3391014	0
Zhang_Dengue_2021.Mix6.rand.3	Zhang_Dengue_2021	6	122424	q	1611	2	100	0.984974531868004	Dengue	2205239	0
Zhang_Dengue_2021.Mix3.rand.77	Zhang_Dengue_2021	3	59185	q	1474	1	99.616427069225	0.883723439127314	Dengue	1091097	0
Zhang_Dengue_2021.Mix3.rand.81	Zhang_Dengue_2021	3	110457	q	977	1	100	1.73013949410824	Dengue	1297834	0
Zhang_Dengue_2021.Mix5.rand.63	Zhang_Dengue_2021	5	79568	q	1173	1	100	1.43022332585539	Dengue	2467599	0
Zhang_Dengue_2021.Mix9.rand.10	Zhang_Dengue_2021	9	102643	q	1997	5	99.9064994791174	0.625091085955292	Dengue	3568773	0
Zhang_Dengue_2021.Mix8.rand.80	Zhang_Dengue_2021	8	169849	q	1692	1	100	0.901656708036732	Dengue	3216345	0
Zhang_Dengue_2021.Mix5.rand.26	Zhang_Dengue_2021	5	107646	q	1077	2	100	1.63632033469706	Dengue	1653084	0
Zhang_Dengue_2021.Mix10.rand.42	Zhang_Dengue_2021	10	238061	q	1684	1	100	0.919839165026948	Dengue	4140550	0
Zhang_Dengue_2021.Mix4.rand.19	Zhang_Dengue_2021	4	53940	q	913	6	100	1.90807111612812	Dengue	942059	0
Zhang_Dengue_2021.Mix4.rand.100	Zhang_Dengue_2021	4	183509	q	1691	1	100	0.778356372720517	Dengue	1598677	0
Zhang_Dengue_2021.Mix2.rand.54	Zhang_Dengue_2021	2	23057	q	220	1	100	9.88739154513568	Dengue	1345819	0
Zhang_Dengue_2021.Mix7.rand.79	Zhang_Dengue_2021	7	133764	q	1637	1	99.8597089475167	0.948431112805108	Dengue	2530258	0
Zhang_Dengue_2021.Mix8.rand.2	Zhang_Dengue_2021	8	152877	q	1976	1	100	0.670990997287828	Dengue	3183961	0
Zhang_Dengue_2021.Mix9.rand.89	Zhang_Dengue_2021	9	157896	q	1632	2	100	1.02165542426278	Dengue	3638724	0
Zhang_Dengue_2021.Mix6.rand.23	Zhang_Dengue_2021	6	102304	q	1724	5	100	0.832759950472049	Dengue	2389709	0
Zhang_Dengue_2021.Mix4.rand.21	Zhang_Dengue_2021	4	21143	q	1511	3	100	0.915848008202894	Dengue	1322584	0
Zhang_Dengue_2021.Mix3.rand.84	Zhang_Dengue_2021	3	28108	q	413	1	100	4.30603165927897	Dengue	1381864	0
