order	fre	frePool	ratio
86	8743	45866	0.990562166598277
87	8616	45867	0.990583763471049
88	8602	45873	0.990713344707686
89	8524	45880	0.990864522817096
90	8405	45885	0.99097250718096
91	8222	45896	0.991210072781461
92	8218	45910	0.991512429000281
93	8206	45918	0.991685203982463
94	8054	45918	0.991685203982463
95	8052	45918	0.991685203982463
96	8011	45921	0.991749994600782
97	7984	45926	0.991857978964646
98	7937	45927	0.991879575837419
99	7753	45927	0.991879575837419
100	7540	45930	0.991944366455737
101	7491	45930	0.991944366455737
102	7452	45932	0.991987560201283
103	7444	45970	0.99280824136665
104	7435	45974	0.992894628857741
105	7434	45976	0.992937822603287
106	7420	45976	0.992937822603287
107	7305	45979	0.993002613221606
108	7294	45981	0.993045806967151
109	7251	45991	0.993261775694879
110	7229	45993	0.993304969440425
111	7201	45993	0.993304969440425
112	7174	45993	0.993304969440425
113	7156	45994	0.993326566313198
114	7101	45994	0.993326566313198
115	7076	45994	0.993326566313198
116	7070	45994	0.993326566313198
117	7051	46007	0.993607325659245
118	7018	46007	0.993607325659245
119	6978	46007	0.993607325659245
120	6953	46008	0.993628922532017
121	6897	46008	0.993628922532017
122	6864	46008	0.993628922532017
123	6715	46008	0.993628922532017
124	6616	46009	0.99365051940479
125	6611	46009	0.99365051940479
126	6604	46010	0.993672116277563
127	6573	46010	0.993672116277563
128	6573	46013	0.993736906895881
129	6561	46013	0.993736906895881
130	6553	46013	0.993736906895881
131	6496	46014	0.993758503768654
132	6489	46015	0.993780100641427
133	6458	46015	0.993780100641427
134	6458	46015	0.993780100641427
135	6438	46015	0.993780100641427
136	6429	46015	0.993780100641427
137	6413	46015	0.993780100641427
138	6409	46017	0.993823294386973
139	6355	46023	0.99395287562361
140	6329	46025	0.993996069369155
141	6328	46026	0.994017666241928
142	6293	46028	0.994060859987474
143	6263	46029	0.994082456860247
144	6257	46029	0.994082456860247
145	6254	46029	0.994082456860247
146	6200	46029	0.994082456860247
147	6185	46030	0.994104053733019
148	6177	46030	0.994104053733019
149	6140	46031	0.994125650605792
150	6095	46032	0.994147247478565
151	6083	46033	0.994168844351338
152	6080	46033	0.994168844351338
153	6063	46033	0.994168844351338
154	6008	46033	0.994168844351338
155	5995	46033	0.994168844351338
156	5993	46033	0.994168844351338
157	5993	46033	0.994168844351338
158	5925	46033	0.994168844351338
159	5869	46033	0.994168844351338
160	5861	46033	0.994168844351338
161	5851	46034	0.994190441224111
162	5847	46035	0.994212038096884
163	5839	46037	0.994255231842429
164	5824	46037	0.994255231842429
165	5794	46037	0.994255231842429
166	5780	46038	0.994276828715202
167	5771	46039	0.994298425587975
168	5752	46039	0.994298425587975
