virus	length	Expect_errors	Actual_error	expected_Escape_blast	expected_Escape_bowtie
SARS_cov_2	150	9	0	0	0
SARS_cov_2	150	9	1	4	0
SARS_cov_2	150	9	2	45	0
SARS_cov_2	150	9	3	347	0
SARS_cov_2	150	9	4	2252	0
SARS_cov_2	150	9	5	11803	0
SARS_cov_2	150	9	6	51727	3
SARS_cov_2	150	9	7	167794	275
SARS_cov_2	150	9	8	610846	15333
SARS_cov_2	150	9	9	1969756	2775279
SARS_cov_2	150	9	10	0	333
SARS_cov_2	150	9	11	0	68
SARS_cov_2	150	9	12	0	0
SARS_cov_2	150	9	13	0	3
SARS_cov_2	150	9	14	0	0
SARS_cov_2	150	9	15	0	0
SARS_cov_2	150	9	16	0	0
SARS_cov_2	150	9	17	0	0
SARS_cov_2	150	9	18	0	0
SARS_cov_2	150	9	19	0	0
SARS_cov_2	150	9	20	0	0
SARS_cov_2	150	9	21	0	0
SARS_cov_2	150	9	22	0	0
SARS_cov_2	150	9	23	0	0
SARS_cov_2	150	9	24	0	0
SARS_cov_2	150	9	25	0	0
SARS_cov_2	150	9	26	0	0
SARS_cov_2	150	9	27	0	0
SARS_cov_2	150	9	28	0	0
SARS_cov_2	150	9	29	0	0
SARS_cov_2	150	9	30	0	0
SARS_cov_2	150	10	0	0	0
SARS_cov_2	150	10	1	2	0
SARS_cov_2	150	10	2	16	0
SARS_cov_2	150	10	3	122	0
SARS_cov_2	150	10	4	797	0
SARS_cov_2	150	10	5	4094	0
SARS_cov_2	150	10	6	18231	0
SARS_cov_2	150	10	7	68075	11
SARS_cov_2	150	10	8	192097	469
SARS_cov_2	150	10	9	620743	21247
SARS_cov_2	150	10	10	1773751	2635559
SARS_cov_2	150	10	11	0	531
SARS_cov_2	150	10	12	0	97
SARS_cov_2	150	10	13	0	10
SARS_cov_2	150	10	14	0	2
SARS_cov_2	150	10	15	0	0
SARS_cov_2	150	10	16	0	0
SARS_cov_2	150	10	17	0	0
SARS_cov_2	150	10	18	0	0
SARS_cov_2	150	10	19	0	0
SARS_cov_2	150	10	20	0	0
SARS_cov_2	150	10	21	0	0
SARS_cov_2	150	10	22	0	0
SARS_cov_2	150	10	23	0	0
SARS_cov_2	150	10	24	0	0
SARS_cov_2	150	10	25	0	0
SARS_cov_2	150	10	26	0	0
SARS_cov_2	150	10	27	0	0
SARS_cov_2	150	10	28	0	0
SARS_cov_2	150	10	29	0	0
SARS_cov_2	150	10	30	0	0
SARS_cov_2	150	11	0	0	0
SARS_cov_2	150	11	1	2	0
SARS_cov_2	150	11	2	6	0
SARS_cov_2	150	11	3	48	0
SARS_cov_2	150	11	4	351	0
SARS_cov_2	150	11	5	1683	0
SARS_cov_2	150	11	6	6829	0
SARS_cov_2	150	11	7	25988	2
SARS_cov_2	150	11	8	85099	17
SARS_cov_2	150	11	9	212231	712
SARS_cov_2	150	11	10	607477	27949
SARS_cov_2	150	11	11	1560757	2458879
SARS_cov_2	150	11	12	0	720
SARS_cov_2	150	11	13	0	144
SARS_cov_2	150	11	14	0	11
SARS_cov_2	150	11	15	0	2
SARS_cov_2	150	11	16	0	0
SARS_cov_2	150	11	17	0	0
SARS_cov_2	150	11	18	0	0
SARS_cov_2	150	11	19	0	0
SARS_cov_2	150	11	20	0	0
SARS_cov_2	150	11	21	0	0
SARS_cov_2	150	11	22	0	0
SARS_cov_2	150	11	23	0	0
SARS_cov_2	150	11	24	0	0
SARS_cov_2	150	11	25	0	0
SARS_cov_2	150	11	26	0	0
SARS_cov_2	150	11	27	0	0
SARS_cov_2	150	11	28	0	0
SARS_cov_2	150	11	29	0	0
SARS_cov_2	150	11	30	0	0
SARS_cov_2	150	12	0	0	0
SARS_cov_2	150	12	1	0	0
SARS_cov_2	150	12	2	6	0
SARS_cov_2	150	12	3	18	0
SARS_cov_2	150	12	4	150	0
SARS_cov_2	150	12	5	739	0
SARS_cov_2	150	12	6	2847	0
SARS_cov_2	150	12	7	10507	0
SARS_cov_2	150	12	8	34708	1
SARS_cov_2	150	12	9	100158	27
SARS_cov_2	150	12	10	221843	1070
SARS_cov_2	150	12	11	577404	34849
SARS_cov_2	150	12	12	1342140	2255473
SARS_cov_2	150	12	13	0	1002
SARS_cov_2	150	12	14	0	226
SARS_cov_2	150	12	15	0	23
SARS_cov_2	150	12	16	0	5
SARS_cov_2	150	12	17	0	0
SARS_cov_2	150	12	18	0	0
SARS_cov_2	150	12	19	0	0
SARS_cov_2	150	12	20	0	0
SARS_cov_2	150	12	21	0	0
SARS_cov_2	150	12	22	0	0
SARS_cov_2	150	12	23	0	0
SARS_cov_2	150	12	24	0	0
SARS_cov_2	150	12	25	0	0
SARS_cov_2	150	12	26	0	0
SARS_cov_2	150	12	27	0	0
SARS_cov_2	150	12	28	0	0
SARS_cov_2	150	12	29	0	0
SARS_cov_2	150	12	30	0	0
SARS_cov_2	150	13	0	0	0
SARS_cov_2	150	13	1	0	0
SARS_cov_2	150	13	2	1	0
SARS_cov_2	150	13	3	21	0
SARS_cov_2	150	13	4	68	0
SARS_cov_2	150	13	5	328	0
SARS_cov_2	150	13	6	1390	0
